f	Vin	Vout
49.53	2.389	0.689
169.9	2.388	0.689
247.8	2.386	0.688
322.4	2.385	0.687
507.3	2.381	0.681
1451	2.328	0.609
1070	2.355	0.643
1366	2.334	0.617
1115	2.352	0.640
1281	2.340	0.625
1568	2.318	0.598
1820	2.295	0.574
2106	2.267	0.547
2485	2.225	0.513
2938	2.168	0.467
3228	2.130	0.431
