frame	area
1	2456
2	2547
3	2547
4	2547
5	2687
6	2687
7	2687
8	2817
9	2817
10	2939
11	2939
12	2939
13	3025
14	3025
15	3025
16	3100
17	3100
18	3100
19	3241
20	3241
21	3241
22	3352
23	3352
24	3352
25	3508
26	3508
27	3508
28	3508
29	3632
30	3632
31	3632
32	3704
33	3704
34	3704
35	3704
36	3789
37	3789
38	3789
39	3902
40	3902
41	3902
42	4009
43	4009
44	4009
45	4132
46	4132
47	4132
48	4132
49	4249
50	4249
51	4249
52	4249
53	4340
54	4340
55	4340
56	4340
57	4450
58	4450
59	4450
60	4450
61	4563
62	4563
63	4563
64	4563
65	4636
66	4636
67	4636
68	4636
69	4783
70	4783
71	4783
72	4783
73	4883
74	5013
75	5013
76	5147
77	5147
78	5147
79	5260
80	5260
81	5260
82	5260
83	5356
84	5356
85	5356
86	5356
87	5512
88	5512
89	5512
90	5512
91	5643
92	5643
93	5643
94	5758
95	5758
96	5886
97	5886
98	5886
99	6005
100	6005
101	6005
102	6129
103	6129
104	6129
105	6271
106	6271
107	6271
108	6271
109	6361
110	6361
111	6361
112	6477
113	6477
114	6477
115	6612
116	6612
117	6612
118	6612
119	6741
120	6741
121	6741
122	6834
123	6834
124	6834
125	6834
126	6954
127	6954
128	6954
129	6954
130	7084
131	7084
132	7084
133	7084
134	7218
135	7218
136	7218
137	7345
138	7345
139	7345
140	7345
141	7442
142	7442
143	7442
144	7594
145	7594
146	7594
147	7594
148	7716
149	7716
150	7716
151	7716
152	7797
153	7797
154	7797
155	7926
156	7926
157	7926
158	7926
159	8049
160	8049
161	8049
162	8049
163	8170
164	8170
165	8170
166	8170
167	8304
168	8304
169	8304
170	8304
171	8408
172	8408
173	8408
174	8528
175	8528
176	8528
177	8528
178	8725
179	8725
180	8725
181	8725
182	8852
183	8852
184	8852
185	8852
186	8968
187	8968
188	8968
189	9091
190	9091
191	9091
192	9091
193	9231
194	9231
195	9231
196	9231
197	9316
198	9316
199	9316
200	9316
201	9413
202	9413
203	9413
204	9556
205	9556
206	9556
207	9703
208	9703
209	9703
210	9703
211	9812
212	9812
213	9812
214	9812
215	9957
216	9957
217	9957
218	10096
219	10096
220	10096
221	10096
222	10199
223	10199
224	10199
225	10199
226	10276
227	10276
228	10276
229	10276
230	10386
231	10386
232	10386
233	10520
234	10520
235	10520
236	10520
237	10631
238	10631
239	10631
240	10631
241	10784
242	10784
243	10784
244	10784
245	10876
246	10876
247	10876
248	10979
249	10979
250	10979
251	10979
252	11116
253	11116
254	11116
255	11116
256	11238
257	11238
258	11238
259	11238
260	11351
261	11351
262	11351
263	11351
264	11458
265	11458
266	11458
267	11556
268	11556
269	11556
270	11556
271	11711
272	11711
273	11711
274	11711
275	11856
276	11856
277	11856
278	11856
279	11959
280	11959
281	11959
282	12124
283	12124
284	12124
285	12124
286	12188
287	12188
288	12188
289	12188
290	12275
291	12275
292	12275
293	12363
294	12363
295	12363
296	12363
297	12467
298	12467
299	12467
300	12467
301	12598
302	12598
303	12598
304	12698
305	12698
306	12698
307	12698
308	12818
309	12818
310	12818
311	12818
312	12928
313	12928
314	12928
315	13094
316	13094
317	13094
318	13156
319	13156
320	13156
321	13156
322	13291
323	13291
324	13291
325	13390
326	13390
327	13390
328	13507
329	13507
330	13507
331	13616
332	13616
333	13616
334	13772
335	13772
336	13878
337	13878
338	13878
339	13878
340	14011
341	14011
342	14011
343	14111
344	14111
345	14111
346	14211
347	14211
348	14211
349	14338
350	14338
351	14475
352	14475
353	14475
354	14578
355	14578
356	14686
357	14686
358	14774
359	14774
360	14851
361	14851
362	15033
363	15175
364	15175
365	15175
366	15287
367	15287
368	15287
369	15407
370	15407
371	15407
372	15519
373	15519
374	15519
375	15610
376	15610
377	15760
378	15760
379	15760
380	15878
381	15878
