frame	area
1	29062
2	28843
3	28843
4	28843
5	28610
6	28610
7	28610
8	28375
9	28375
10	28171
11	28171
12	28171
13	27889
14	27889
15	27889
16	27605
17	27605
18	27398
19	27398
20	27398
21	27398
22	27104
23	27104
24	27104
25	27104
26	26847
27	26847
28	26847
29	26847
30	26527
31	26527
32	26527
33	26231
34	26231
35	26231
36	26231
37	25979
38	25979
39	25979
40	25979
41	25728
42	25728
43	25728
44	25728
45	25401
46	25401
47	25401
48	25229
49	25229
50	25229
51	25229
52	25027
53	25027
54	25027
55	25027
56	24721
57	24721
58	24721
59	24721
60	24387
61	24387
62	24387
63	24387
64	24118
65	24118
66	23906
67	23906
68	23616
69	23616
70	23616
71	23616
72	23363
73	23363
74	23363
75	23363
76	23146
77	23146
78	23146
79	23146
80	22903
81	22903
82	22903
83	22903
84	22550
85	22550
86	22550
87	22550
88	22332
89	22332
90	22332
91	22332
92	22187
93	22187
94	22187
95	22187
96	21931
97	21931
98	21931
99	21931
100	21644
101	21644
102	21644
103	21379
104	21118
105	21118
106	20910
107	20910
108	20652
109	20652
110	20652
111	20652
112	20397
113	20397
114	20397
115	20157
116	20157
117	20157
118	20157
119	19910
120	19910
121	19910
122	19910
123	19642
124	19642
125	19642
126	19642
127	19376
128	19376
129	19376
130	19376
131	19116
132	19116
133	19116
134	19116
135	18925
136	18925
137	18925
138	18925
139	18636
140	18636
141	18636
142	18636
143	18417
144	18417
145	18417
146	18417
147	18209
148	18209
149	18209
150	18209
151	18006
152	18006
153	18006
154	18006
155	17749
156	17749
157	17749
158	17749
159	17506
160	17506
161	17506
162	17506
163	17244
164	17244
165	17244
166	17244
167	16991
168	16991
169	16991
170	16991
171	16757
172	16757
173	16757
174	16757
175	16572
176	16572
177	16572
178	16572
179	16296
180	16296
181	16296
182	16296
183	16112
184	16112
185	16112
186	16112
187	15906
188	15906
189	15906
190	15906
191	15649
192	15649
193	15649
194	15649
195	15401
196	15401
197	15401
198	15401
199	15172
200	15172
201	15172
202	15172
203	14883
204	14883
205	14883
206	14883
