frame	area
1	2770
2	3024
3	3024
4	3024
5	3248
6	3248
7	3248
8	3408
9	3408
10	3408
11	3694
12	3694
13	3920
14	3920
15	3920
16	4095
17	4095
18	4095
19	4095
20	4379
21	4379
22	4614
23	4614
24	4794
25	4794
26	4794
27	4794
28	4998
29	4998
30	4998
31	4998
32	5227
33	5227
34	5400
35	5400
36	5400
37	5400
38	5581
39	5581
40	5581
41	5581
42	5853
43	5853
44	5853
45	6083
46	6083
47	6083
48	6327
49	6327
50	6327
51	6567
52	6567
53	6814
54	6814
55	6814
56	7044
57	7044
58	7284
59	7284
60	7544
61	7777
62	7777
63	8042
64	8263
65	8263
66	8263
67	8498
68	8498
69	8498
70	8775
71	9067
72	9067
73	9242
74	9242
75	9242
76	9508
77	9508
78	9508
79	9791
80	9791
81	9791
82	10054
83	10054
84	10054
85	10259
86	10536
87	10536
88	10536
89	10820
90	10820
91	10820
92	11088
93	11088
94	11088
95	11429
96	11429
97	11429
98	11626
99	11626
100	11626
101	11851
102	12079
103	12079
104	12079
105	12357
106	12357
107	12357
108	12568
109	12568
110	12568
111	12811
112	12811
113	12811
114	13042
115	13042
116	13042
117	13264
118	13264
119	13264
120	13539
121	13539
122	13539
123	13752
124	13752
125	13752
126	13986
127	13986
128	13986
129	14230
130	14230
131	14230
132	14230
133	14518
134	14518
135	14518
136	14518
137	14777
138	14777
139	14777
140	14777
141	15052
142	15052
143	15052
144	15052
145	15228
146	15228
147	15228
148	15228
149	15499
150	15499
151	15499
152	15499
153	15774
154	15774
155	15774
156	15774
157	16061
158	16061
159	16061
160	16061
161	16278
162	16278
163	16278
164	16278
165	16532
166	16532
167	16532
168	16532
169	16776
170	16776
171	16776
172	16776
173	17021
174	17021
175	17021
176	17021
177	17241
178	17241
179	17241
180	17241
181	17491
182	17491
183	17491
184	17491
185	17689
186	17689
187	17689
188	17689
189	17973
190	17973
191	17973
192	17973
193	18223
194	18223
195	18223
196	18223
197	18414
198	18414
199	18414
200	18414
201	18714
202	18714
203	18714
204	18714
205	18955
206	18955
207	18955
208	18955
209	19171
210	19171
211	19171
212	19171
213	19333
214	19333
215	19333
216	19333
217	19614
218	19614
219	19614
220	19614
221	19822
222	19822
223	19822
224	19822
225	20042
226	20042
227	20042
228	20042
229	20268
230	20268
231	20268
232	20268
233	20456
234	20456
235	20456
236	20456
237	20652
238	20652
239	20652
240	20652
241	20877
242	20877
243	20877
244	20877
245	21109
246	21109
247	21109
248	21109
249	21304
250	21304
251	21304
252	21304
253	21534
254	21534
255	21534
256	21534
257	21697
258	21697
259	21697
260	21697
261	21907
262	21907
263	21907
264	21907
265	22060
266	22060
267	22060
268	22060
269	22267
270	22267
271	22267
272	22267
273	22527
274	22527
275	22527
276	22527
277	22749
278	22749
279	22749
280	22749
281	22986
282	22986
283	22986
284	22986
285	23259
286	23259
287	23259
288	23259
289	23433
290	23433
291	23433
292	23433
293	23647
294	23647
295	23647
296	23647
297	23769
298	23769
299	23769
300	23769
301	23910
302	23910
303	23910
304	23910
305	24117
306	24117
307	24117
308	24117
309	24311
310	24311
311	24311
312	24311
313	24513
314	24513
315	24513
316	24513
317	24674
318	24674
319	24674
320	24674
321	24903
322	24903
323	24903
324	25134
325	25134
326	25134
327	25134
328	25288
329	25288
330	25288
331	25288
332	25431
333	25431
334	25431
335	25431
336	25637
337	25637
338	25637
339	25637
340	25816
341	25816
342	25816
343	25816
344	25997
345	25997
346	25997
347	25997
348	26214
349	26214
350	26214
351	26214
352	26389
353	26389
354	26389
355	26389
356	26595
357	26595
358	26595
359	26595
360	26727
361	26727
362	26727
363	26727
364	26928
365	26928
366	26928
367	26928
368	27178
369	27178
370	27178
371	27178
372	27316
373	27316
374	27316
375	27316
376	27532
377	27532
378	27532
379	27532
380	27702
381	27702
382	27702
383	27702
384	27852
385	27852
386	27852
387	27852
388	28021
389	28021
390	28021
391	28021
392	28165
393	28165
394	28165
395	28165
396	28309
397	28309
398	28309
399	28309
400	28473
401	28473
402	28473
403	28473
404	28647
405	28647
406	28647
407	28647
408	28792
409	28792
410	28792
411	28792
412	28951
413	28951
414	28951
415	28951
416	29105
417	29105
418	29105
419	29105
420	29262
421	29262
422	29262
423	29262
424	29366
425	29366
426	29366
427	29366
428	29486
429	29486
430	29486
431	29486
432	29486
433	29667
434	29667
435	29667
436	29667
437	29817
438	29817
439	29817
440	29921
441	29921
442	29921
443	29921
444	30049
445	30049
446	30049
447	30049
448	30049
449	30190
450	30190
451	30190
452	30366
453	30366
454	30366
455	30366
456	30528
457	30528
458	30528
459	30528
460	30670
461	30670
462	30670
463	30670
464	30670
465	30836
466	30836
467	30836
468	31010
469	31010
470	31010
471	31010
472	31126
473	31126
474	31126
475	31126
476	31292
477	31292
478	31292
479	31292
480	31421
481	31421
482	31421
483	31421
484	31568
485	31568
486	31568
487	31568
488	31684
489	31684
490	31684
491	31684
492	31819
493	31819
494	31819
495	31819
496	31819
497	31991
498	31991
499	31991
500	31991
501	32110
502	32110
503	32110
504	32275
505	32275
506	32275
507	32275
508	32394
509	32394
510	32394
511	32394
512	32394
513	32534
514	32534
515	32534
516	32534
517	32636
518	32636
519	32636
520	32751
521	32751
522	32751
523	32751
524	32751
525	32894
526	32894
527	32894
528	32894
529	32951
530	32951
531	32951
532	32951
533	33049
534	33049
535	33049
536	33049
537	33166
538	33166
539	33166
540	33166
541	33286
542	33286
543	33286
544	33286
545	33408
546	33408
547	33408
548	33408
549	33408
550	33503
551	33503
552	33503
553	33503
554	33599
555	33599
556	33599
557	33703
558	33703
559	33703
560	33703
561	33766
562	33766
563	33766
564	33766
565	33766
566	33903
567	33903
568	33903
569	33903
570	33968
571	33968
572	33968
573	33968
574	34092
575	34092
576	34092
577	34092
578	34180
579	34180
580	34180
581	34180
582	34397
583	34397
584	34397
585	34397
586	34543
587	34543
588	34543
589	34543
590	34543
591	34683
592	34683
593	34683
594	34683
595	34773
596	34773
597	34773
598	34878
599	34878
600	34878
601	34878
602	34990
603	34990
604	34990
605	34990
606	34990
607	35107
608	35107
609	35107
610	35107
611	35159
612	35159
613	35159
614	35159
615	35285
616	35285
617	35285
618	35285
619	35355
620	35355
621	35355
622	35355
623	35521
624	35521
625	35521
626	35521
627	35569
628	35569
629	35569
630	35569
631	35569
632	35647
633	35647
634	35647
635	35647
636	35724
637	35724
638	35724
639	35724
640	35772
641	35772
642	35772
643	35772
644	35937
645	35937
646	35937
647	35937
648	36047
649	36047
650	36047
651	36047
652	36134
653	36134
654	36134
655	36134
656	36134
657	36212
658	36212
659	36212
660	36322
661	36322
662	36322
663	36322
664	36394
665	36394
666	36394
667	36394
668	36394
669	36455
670	36455
671	36455
672	36455
673	36605
674	36605
675	36605
676	36605
677	36675
678	36675
679	36675
680	36675
681	36761
682	36761
683	36761
684	36761
685	36878
686	36878
687	36878
688	36878
689	36964
690	36964
691	36964
692	36964
693	36964
694	37054
695	37054
696	37054
697	37054
698	37136
699	37136
700	37136
701	37136
702	37215
703	37215
704	37215
705	37215
706	37258
707	37258
708	37258
709	37258
710	37362
711	37362
712	37362
713	37362
714	37403
715	37403
716	37403
717	37403
718	37403
719	37462
720	37462
721	37462
722	37462
723	37536
724	37536
725	37536
726	37536
727	37619
728	37619
729	37619
730	37619
731	37666
732	37666
733	37666
734	37666
735	37715
736	37715
737	37715
738	37715
739	37781
740	37781
741	37781
742	37781
743	37781
744	37869
745	37869
746	37869
747	37869
748	37950
749	37950
750	37950
751	37950
752	38029
753	38029
754	38029
755	38029
756	38097
757	38097
758	38097
759	38097
760	38176
761	38176
762	38176
763	38176
764	38263
765	38263
766	38263
767	38263
768	38263
769	38335
770	38335
771	38335
772	38335
773	38401
774	38401
775	38401
776	38401
777	38437
778	38437
779	38437
780	38437
781	38504
782	38504
783	38504
784	38504
785	38589
786	38589
787	38589
788	38589
789	38646
790	38646
791	38646
792	38646
793	38646
794	38734
795	38734
796	38734
797	38734
798	38783
799	38783
800	38783
801	38783
802	38848
803	38848
804	38848
805	38848
806	38900
807	38900
808	38900
809	38962
810	38962
811	38962
812	38962
813	39015
814	39015
815	39015
816	39015
817	39051
818	39051
819	39051
820	39051
821	39051
822	39118
823	39118
824	39118
825	39118
826	39174
827	39174
828	39174
829	39174
830	39249
831	39249
832	39249
833	39283
834	39283
835	39283
836	39283
837	39351
838	39351
839	39351
840	39351
841	39422
842	39422
843	39422
844	39422
845	39464
846	39464
847	39464
848	39464
849	39545
850	39545
851	39545
852	39545
853	39606
854	39606
855	39606
856	39653
857	39653
858	39653
859	39653
860	39688
861	39688
862	39688
863	39688
864	39688
865	39739
866	39739
867	39739
868	39739
869	39792
870	39792
871	39792
872	39887
873	39887
874	39887
875	39887
876	39908
877	39908
878	39908
879	39908
880	39994
881	39994
882	39994
883	39994
884	40066
885	40066
886	40066
887	40107
888	40107
889	40107
890	40107
891	40177
892	40177
893	40177
894	40177
895	40176
896	40176
897	40176
898	40176
899	40241
900	40241
901	40241
902	40241
903	40277
904	40277
905	40277
906	40277
907	40318
908	40318
909	40318
910	40318
911	40413
912	40413
913	40413
914	40413
915	40457
916	40457
917	40457
918	40457
919	40516
920	40516
921	40516
922	40516
923	40527
924	40527
925	40527
926	40527
927	40577
928	40577
929	40577
930	40577
931	40634
932	40634
933	40634
934	40667
935	40667
936	40667
937	40740
938	40740
939	40740
940	40740
941	40756
942	40756
943	40756
944	40756
945	40827
946	40827
947	40827
948	40827
949	40850
950	40850
951	40850
952	40850
953	40942
954	40942
955	40942
956	40942
957	40999
958	40999
959	40999
960	40993
961	40993
962	40993
963	40993
964	41067
965	41067
966	41067
967	41067
968	41117
969	41117
970	41117
971	41117
972	41182
973	41182
974	41182
975	41182
976	41203
977	41203
978	41203
979	41203
980	41224
981	41224
982	41224
983	41224
984	41271
985	41271
986	41271
987	41271
988	41308
989	41308
990	41308
991	41308
992	41342
993	41342
994	41342
995	41342
996	41376
997	41376
998	41376
999	41376
1000	41376
1001	41448
1002	41448
1003	41448
1004	41448
1005	41474
1006	41474
1007	41474
1008	41474
1009	41549
1010	41549
1011	41549
1012	41549
1013	41554
1014	41554
1015	41554
1016	41554
1017	41597
1018	41597
1019	41597
1020	41597
1021	41629
1022	41629
1023	41629
1024	41629
1025	41651
1026	41651
1027	41651
1028	41651
1029	41702
1030	41702
1031	41702
1032	41702
1033	41702
1034	41724
1035	41724
1036	41724
1037	41724
1038	41756
1039	41756
1040	41756
1041	41756
1042	41759
1043	41759
1044	41759
1045	41759
1046	41809
1047	41809
1048	41809
1049	41809
1050	41847
1051	41847
1052	41847
1053	41847
1054	41835
1055	41835
1056	41835
1057	41835
1058	41833
1059	41833
1060	41833
1061	41833
1062	41886
1063	41886
1064	41886
1065	41886
1066	41922
1067	41922
1068	41922
1069	41922
1070	41950
1071	41950
1072	41950
1073	41950
1074	41928
1075	41928
1076	41928
1077	41928
1078	42010
1079	42010
1080	42010
1081	42010
1082	42037
1083	42037
1084	42037
1085	42037
1086	42069
1087	42069
1088	42069
1089	42069
