frame	area
1	2046
2	2187
3	2187
4	2187
5	2294
6	2294
7	2294
8	2409
9	2409
10	2409
11	2521
12	2521
13	2647
14	2647
15	2647
16	2779
17	2779
18	2779
19	2956
20	2956
21	2956
22	3080
23	3080
24	3080
25	3080
26	3236
27	3236
28	3236
29	3236
30	3342
31	3342
32	3342
33	3435
34	3435
35	3435
36	3534
37	3534
38	3534
39	3534
40	3639
41	3639
42	3639
43	3793
44	3793
45	3793
46	3942
47	3942
48	3942
49	3942
50	4072
51	4072
52	4072
53	4205
54	4205
55	4205
56	4205
57	4334
58	4334
59	4334
60	4334
61	4459
62	4459
63	4459
64	4459
65	4605
66	4605
67	4605
68	4605
69	4745
70	4745
71	4745
72	4745
73	4882
74	5005
75	5005
76	5078
77	5078
78	5078
79	5171
80	5171
81	5171
82	5334
83	5334
84	5334
85	5334
86	5442
87	5442
88	5442
89	5565
90	5565
91	5565
92	5565
93	5698
94	5839
95	5839
96	5839
97	5994
98	5994
99	5994
100	6147
101	6147
102	6147
103	6305
104	6305
105	6305
106	6457
107	6457
108	6457
109	6629
110	6629
111	6629
112	6737
113	6737
114	6737
115	6737
116	6884
117	6884
118	6884
119	6884
120	6995
121	6995
122	6995
123	6995
124	7160
125	7160
126	7160
127	7160
128	7283
129	7283
130	7283
131	7283
132	7366
133	7366
134	7366
135	7366
136	7495
137	7495
138	7495
139	7495
140	7606
141	7606
142	7606
143	7606
144	7698
145	7698
146	7698
147	7810
148	7810
149	7810
150	7810
151	7918
152	7918
153	7918
154	7918
155	8097
156	8097
157	8097
158	8097
159	8245
160	8245
161	8245
162	8245
163	8341
164	8341
165	8341
166	8341
167	8480
168	8480
169	8480
170	8480
171	8649
172	8649
173	8649
174	8811
175	8811
176	8811
177	8811
178	8973
179	8973
180	8973
181	8973
182	9092
183	9092
184	9092
185	9092
186	9236
187	9236
188	9236
189	9236
190	9357
191	9357
192	9357
193	9536
194	9536
195	9536
196	9536
197	9636
198	9636
199	9636
200	9636
201	9796
202	9796
203	9796
204	9979
205	9979
206	9979
207	9979
208	10079
209	10079
210	10079
211	10220
212	10220
213	10220
214	10220
215	10384
216	10384
217	10384
218	10384
219	10500
220	10500
221	10500
222	10500
223	10680
224	10680
225	10680
226	10680
227	10827
228	10827
229	10827
230	10827
231	10929
232	10929
233	10929
234	11074
235	11074
236	11074
237	11074
238	11200
239	11200
240	11200
241	11315
242	11315
243	11315
244	11315
245	11467
246	11467
247	11467
248	11467
249	11631
250	11631
251	11631
252	11631
253	11756
254	11756
255	11756
256	11756
257	11850
258	11850
259	11850
260	11973
261	11973
262	11973
