frame	area
1	41448
2	41421
3	41421
4	41421
5	41397
6	41397
7	41397
8	41339
9	41339
10	41378
11	41378
12	41378
13	41392
14	41392
15	41278
16	41278
17	41278
18	41278
19	41293
20	41293
21	41293
22	41293
23	41226
24	41226
25	41173
26	41173
27	41173
28	41173
29	41173
30	41112
31	41112
32	41112
33	41112
34	41017
35	41017
36	41017
37	41017
38	40933
39	40933
40	40933
41	40888
42	40888
43	40888
44	40888
45	40746
46	40746
47	40746
48	40746
49	40569
50	40569
51	40569
52	40569
53	40452
54	40452
55	40452
56	40452
57	40276
58	40276
59	40276
60	40276
61	40090
62	40090
63	40090
64	40090
65	39832
66	39832
67	39832
68	39832
69	39526
70	39526
71	39526
72	39526
73	39228
74	39228
75	38969
76	38741
77	38741
78	38741
79	38741
80	38436
81	38436
82	38436
83	38436
84	38087
85	38087
86	38087
87	38087
88	37765
89	37765
90	37765
91	37765
92	37382
93	37382
94	37382
95	37382
96	37002
97	37002
98	37002
99	37002
100	36540
101	36540
102	36540
103	36540
104	36055
105	36055
106	36055
107	36055
108	35686
109	35686
110	35686
111	35686
112	35239
113	35239
114	35239
115	35239
116	34750
117	34750
118	34750
119	34750
120	34186
121	34186
122	34186
123	34186
124	33732
125	33732
126	33732
127	33732
128	33273
129	33273
130	33273
131	33273
132	32863
133	32863
134	32863
135	32428
136	31957
137	31957
138	31957
139	31957
140	31460
141	31460
142	31460
143	31460
144	31072
145	31072
146	31072
147	31072
148	30573
149	30573
150	30573
151	30573
152	30088
153	30088
154	30088
155	30088
156	29585
157	29585
158	29585
159	29585
160	29168
161	29168
162	29168
163	29168
164	28710
165	28710
166	28710
167	28710
168	28234
169	28234
170	28234
171	28234
172	27799
173	27799
174	27799
175	27799
176	27318
177	27318
178	26981
179	26981
180	26981
181	26981
182	26616
183	26616
184	26616
185	26616
186	26071
187	26071
188	26071
189	26071
190	25766
191	25766
192	25766
193	25766
194	25208
195	25208
196	25208
197	25208
198	24695
199	24695
200	24695
201	24695
202	24350
203	24350
204	24350
205	24350
206	23864
207	23864
208	23864
209	23864
210	23389
211	23389
212	23389
213	23389
214	23006
215	23006
216	23006
217	23006
218	22578
219	22578
220	22578
221	22578
222	22151
223	22151
224	22151
225	22151
226	21716
227	21716
228	21716
229	21716
230	21310
231	21310
232	21310
233	21310
234	20866
235	20866
236	20866
237	20866
238	20443
239	20443
240	20443
241	20443
242	20076
243	20076
244	20076
245	20076
246	19679
247	19679
248	19679
249	19679
250	19361
251	19361
252	19361
253	19361
254	19034
255	19034
256	19034
257	19034
258	18748
259	18748
260	18748
261	18748
262	18448
263	18448
264	18448
265	18448
266	18031
267	18031
268	18031
269	18031
270	17618
271	17618
272	17618
273	17618
274	17236
275	17236
276	17236
277	17236
278	16918
279	16918
280	16918
281	16918
282	16606
283	16606
284	16606
