frame	area
1	43143
2	42619
3	42619
4	42619
5	41935
6	41935
7	41935
8	40982
9	40982
10	39780
11	39780
12	39780
13	38518
14	38518
15	37169
16	37169
17	37169
18	37169
19	35733
20	35733
21	35733
22	34175
23	34175
24	34175
25	34175
26	32621
27	32621
28	31162
29	31162
30	31162
31	29682
32	29682
33	29682
34	29682
35	28326
36	28326
37	28326
38	28326
39	27054
40	27054
41	27054
42	25751
43	25751
44	25751
45	25751
46	24396
47	24396
48	24396
49	24396
50	23177
51	23177
52	23177
53	23177
54	21944
55	21944
56	21944
57	21944
58	20778
59	20778
60	20778
61	20778
62	19512
63	19512
64	19512
65	19512
66	18317
67	18317
68	18317
69	17218
70	16219
71	16219
72	16219
73	15191
74	15191
75	15191
76	15191
77	14129
78	14129
79	14129
80	14129
81	13184
82	13184
83	13184
84	12237
85	12237
86	11432
87	11432
88	11432
89	11432
90	10503
91	10503
92	10503
93	10503
94	9671
95	9671
96	9671
97	9671
98	8849
99	8849
100	8849
101	8849
102	8155
103	7393
104	7393
105	7393
106	6723
107	6723
108	6723
109	6723
110	6011
111	6011
112	6011
113	6011
114	5346
115	5346
116	5346
117	5346
118	4823
119	4823
120	4823
121	4823
122	4263
123	4263
124	4263
125	4263
126	3690
127	3690
128	3690
129	3690
130	3221
131	3221
132	3221
133	3221
134	2774
135	2774
136	2774
137	2774
138	2757
139	2757
140	2757
141	2757
142	3008
143	3008
144	3008
145	3008
146	3292
147	3292
148	3292
149	3292
150	3552
151	3552
152	3552
153	3552
154	3864
155	3864
156	3864
157	3864
158	4111
159	4111
160	4111
161	4111
162	4346
163	4346
164	4346
165	4346
166	4616
167	4616
168	4616
169	4616
170	4825
171	4825
172	4825
173	4825
174	5064
175	5064
176	5064
177	5064
178	5309
179	5309
180	5309
181	5309
182	5548
183	5548
184	5548
185	5548
186	5765
187	5765
188	5765
189	5765
190	5978
191	5978
192	5978
193	5978
194	6213
195	6213
196	6213
197	6213
198	6416
199	6416
200	6416
201	6416
202	6621
203	6621
204	6621
205	6621
206	6882
207	6882
208	6882
209	7116
210	7116
211	7116
212	7116
213	7343
214	7343
215	7343
216	7343
217	7612
218	7612
219	7612
220	7612
221	7819
222	7819
223	7819
224	7819
225	8037
226	8037
227	8037
228	8037
229	8266
230	8266
231	8266
232	8266
233	8493
234	8493
235	8493
236	8493
237	8723
238	8723
239	8723
240	8723
241	8953
242	8953
243	8953
244	8953
245	9147
246	9147
247	9147
248	9147
249	9409
250	9409
251	9409
252	9409
253	9631
254	9631
255	9631
256	9631
