I	V	Ve	R	Re
0	1.546	0.005	0	0
0.01	1.619	0.005	0	0
0.21	1.706	0.005	250	10
0.80	1.757	0.005	1230	10
1.03	1.768	0.005	1640	10
2.04	1.803	0.005	3530	10
3.08	1.830	0.005	5500	20
4.03	1.850	0.005	7360	10
5.02	1.869	0.005	9310	20
6.04	1.887	0.005	11200	20
7.04	1.903	0.005	12670	50
8.04	1.919	0.005	13900	100
9.01	1.933	0.005	14900	100
9.89	1.945	0.005	15800	100
