I	V	Ve	R	Re
0	2.085	0.005	0	0
1.02	2.566	0.005	2520	10
0.49	2.506	0.005	1235	20
2.11	2.642	0.005		10
3.03	2.688	0.005		10
4.00	2.728	0.005		10
5.01	2.763	0.005		10
6.05	2.795	0.005		10
7.08	2.823	0.005		10
8.09	2.848	0.005		10
9.02	2.87	0.005		10
9.95	2.89	0.005		10
0.01	2.323	0.005		0
2.02	2.632	0.005	6730	10
1.81	2.620	0.005	6000	100
1.66	2.611	0.005	5460	50
1.43	2.596	0.005	4640	100
1.22	2.580	0.005	3880	50
