I	V	Ve	R	Re
0	0.951	0.005	0	0
0.01	1.065	0.005	0	0
0.04	1.108	0.005	0	0
0.39	1.202	0.005	400	150
1.04	1.243	0.005	2600	250
2.03	1.269	0.005	6000	1000
3.03	1.285	0.005	11000	1000
4.01	1.295	0.005	16000	1000
5.04	1.304	0.005	22000	1000
6.03	1.311	0.005	27000	1000
7.05	1.317	0.005	33000	1000
8.03	1.322	0.005	39000	1000
9.03	1.327	0.005	44000	1000
9.98	1.331	0.005	50000	1000
