XR01

&b
°
2 15 5 0.1 1 0 0 1 0 0 0 0 0 0 0 1

n&l
pm
20 100 10 0 1 0 0 1 0 0 0 0 0 0 0 1

E
keV
5 40 10 0 1 0 0 0 0 0 0 0 0 0 0 1

R
1/s
-0.0001 544.4251 100 0 1 0 0 1 0 0 1 0 0 0 0 1
1 131
2.75	
2.75	
3	
3.75	
3.25	
4	
4.75	
2.5	
4.25	
4	
3	
5.5	
2.75	
4	
3.5	
3.25	
2.5	
5.75	
5.25	
5	
5.75	
6.5	
5.25	
6.5	
3.75	
6	
7.75	
6	
6	
8	
7.25	
9	
7	
11	
7	
7.5	
10	
6.25	
8.75	
12.5	
12	
10.25	
12.25	
10	
10.25	
10.25	
11	
15	
11.75	
15.75	
15.5	
17	
19.25	
24	
28.5	
38.5	
42.25	
51.25	
52.25	
54	
64.25	
61	
67.25	
65.75	
72.75	
69.5	
76.25	
79.75	
84	
77.25	
78	
87.25	
80.5	
88.25	
90.75	
82	
94.5	
100.5	
93.25	
91.25	
109	
144.5	
198.75	
181.5	
105.25	
94.25	
97.5	
94.75	
92.5	
94	
102.25	
117.75	
204.75	
390	
518.5	
250.25	
95.5	
82	
81.25	
85.75	
81.25	
73.25	
63.75	
74.25	
77.5	
63.75	
65.25	
62.75	
66	
67.25	
63.5	
61	
59	
60.5	
65.75	
57.5	
61.25	
47.5	
47.5	
47.25	
45.5	
41.75	
46.75	
43.25	
45.75	
39.25	
36.75	
37.5	
37.25	
41	
35	
30 30 1 4 0.1
0 0 0
2 0
2 0
0 1 0 1
0 1 0 1
0 1 0 1
0 1 0 1
0
91200 
0
