vps	V	Va	I
1.05	1.019	6	6
1.09	1.024	8	10.4
1.23	1.043	10	27.6
1.4	1.057	12	51.9
1.79	1.073	20	107.3
2.45	1.090	27	202.5
4.56	1.133	57	508
7.94	1.197	104	1002
9.31	1.222	127	1200
11.36	1.259	157	1500
14.78	1.321	206	2000
