vps	V	Va	I
4.15	1.7834	35.4	351.1
5.01	1.7865	48.2	480
6.60	1.7889	71.8	714
8.53	1.7921	100.7	1002
10.04	1.802	122.9	1223
11.88	1.811	150.5	1495
15.37	1.839	205	2010
