vps	V	Va	I
0.92	0.893	1	5.4
0.97	0.906	4	10.3
1.05	0.923	3	20.4
1.28	0.949	6	50.0
1.64	0.97	11	100.3
2.36	0.995	21	202.3
4.41	1.043	50	500
8.12	1.119	105	1039
9.27	1.141	121.9	1206
11.32	1.179	152	1506
14.86	1.243	205	2023
