vps	V	Va	I
0.67	0.632	1	6
0.72	0.655	1.2	11
0.82	0.680	2.2	21.1
1.05	0.717	5.2	50.7
1.25	0.735	7.9	77.4
1.42	0.748	10.2	100.4
2.16	0.784	20.6	204.0
4.27	0.849	51.2	508
7.66	0.927	100.5	1000
9.09	0.957	121.5	1208
11.1	0.998	150.9	1500
14.63	1.068	202.5	2014
