vps	V	Va	I
0.8	0.767	0.8	6
0.86	0.785	1.4	11.3
0.94	0.805	2.3	21.1
1.18	0.836	5.4	51.8
1.57	0.863	10.8	104.9
2.25	0.892	20.5	201.4
4.34	0.948	50.9	504
7.8	1.023	101.6	1007
9.15	1.05	121.3	1202
11.19	1.09	151.2	1500
14.65	1.156	202.5	2005
