vps	V	Va	I
0.53	0.5	0.6	5.0
0.6	0.531	1.1	10.6
0.7	0.56	2.1	20.7
0.93	0.6	5.1	50.0
1.34	0.636	10.6	104.3
2.02	0.674	20.3	200.2
4.18	0.747	51.2	509
7.58	0.832	100.7	1002
8.98	0.863	121.1	1205
11.04	0.907	151.3	1503
14.44	0.977	201	2000
