Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
98,4.903600e+01,10.325679,3.844520e-05,8.370000
99,4.953700e+01,10.315916,3.844520e-05,8.370000
100,5.003700e+01,10.306802,3.844520e-05,8.370000
101,5.053600e+01,10.293239,3.844520e-05,8.418000
102,5.104100e+01,10.281724,3.844520e-05,8.370000
103,5.153800e+01,10.272042,3.844520e-05,8.418000
104,5.204100e+01,10.265066,3.844520e-05,8.370000
105,5.253600e+01,10.258171,3.844520e-05,8.370000
106,5.303800e+01,10.248528,3.844520e-05,8.418000
107,5.353700e+01,10.242672,3.844520e-05,8.370000
108,5.403600e+01,10.237008,3.844520e-05,8.370000
109,5.453700e+01,10.231632,3.844520e-05,8.370000
110,5.503600e+01,10.227610,3.844520e-05,8.370000
111,5.554500e+01,10.223860,3.838560e-05,8.376000
112,5.603700e+01,10.215899,3.838560e-05,8.376000
113,5.653800e+01,10.207275,3.844520e-05,8.376000
114,5.703500e+01,10.192401,3.838560e-05,8.376000
115,5.753700e+01,10.180782,3.838560e-05,8.376000
116,5.803700e+01,10.165806,3.838560e-05,8.376000
117,5.853600e+01,10.157798,3.838560e-05,8.376000
118,5.903800e+01,10.148288,3.838560e-05,8.376000
119,5.953700e+01,10.145381,3.838560e-05,8.376000
120,6.003800e+01,10.142954,3.838560e-05,8.376000
121,6.053600e+01,10.138797,3.838560e-05,8.376000
122,6.103700e+01,10.134671,3.838560e-05,8.376000
123,6.153700e+01,10.131576,3.838560e-05,8.376000
124,6.203700e+01,10.123565,3.838560e-05,8.424000
125,6.253600e+01,10.115881,3.838560e-05,8.376000
126,6.303800e+01,10.109481,3.838560e-05,8.376000
127,6.353700e+01,10.102966,3.838560e-05,8.382000
128,6.403700e+01,10.101610,3.838560e-05,8.382000
129,6.454200e+01,10.095576,3.838560e-05,8.382000
130,6.504000e+01,10.089520,3.838560e-05,8.382000
131,6.553900e+01,10.081101,3.832600e-05,8.388000
132,6.604100e+01,10.068996,3.826640e-05,8.358000
133,6.654500e+01,10.058582,3.820680e-05,8.370000
134,6.703700e+01,10.049805,3.808760e-05,8.358000
135,6.754300e+01,10.036236,3.725310e-05,8.394000
136,6.803700e+01,10.026453,3.546500e-05,8.376000
137,6.853800e+01,10.017790,3.445170e-05,8.340000
138,6.903700e+01,10.008695,3.308080e-05,8.358000
139,6.953700e+01,9.998860,2.723940e-05,8.340000
140,7.003700e+01,9.996542,2.598770e-05,8.370000
141,7.053900e+01,9.987295,2.598770e-05,8.424000
142,7.103700e+01,9.981564,2.092130e-05,8.466000
143,7.154500e+01,9.973879,1.692780e-05,8.436000
144,7.203700e+01,9.966502,1.269580e-05,8.496000
145,7.254300e+01,9.961161,1.019250e-05,8.478000
146,7.303700e+01,9.956518,8.881150e-06,8.466000
147,7.354200e+01,9.950191,7.391010e-06,8.568000
148,7.404200e+01,9.944040,5.483660e-06,8.430000
149,7.453700e+01,9.930082,3.218670e-06,8.472000
150,7.504400e+01,9.921070,1.490120e-06,9.042000
151,7.554500e+01,9.916934,8.344690e-07,8.748000
152,7.604500e+01,9.909978,7.152590e-07,7.764000
153,7.654400e+01,9.902668,4.768410e-07,7.596000
154,7.704500e+01,9.893427,2.980250e-07,6.342000
155,7.754400e+01,9.881329,1.192100e-07,14.034000
156,7.804000e+01,9.874143,5.960510e-08,0.000000
157,7.853700e+01,9.863258,0.000000e+00,0.000000
158,7.903500e+01,9.857518,0.000000e+00,0.000000
159,7.953400e+01,9.851592,0.000000e+00,0.000000
160,8.003900e+01,9.844458,0.000000e+00,0.000000
161,8.053500e+01,9.836587,0.000000e+00,0.000000
162,8.103600e+01,9.833254,0.000000e+00,0.000000
163,8.153400e+01,9.828299,0.000000e+00,0.000000
164,8.203600e+01,9.817693,0.000000e+00,0.000000
165,8.253600e+01,9.813804,0.000000e+00,0.000000
166,8.303600e+01,9.809975,0.000000e+00,0.000000
167,8.353600e+01,9.803232,0.000000e+00,0.000000
168,8.403500e+01,9.794137,0.000000e+00,0.000000
169,8.453500e+01,9.786584,0.000000e+00,0.000000
170,8.503700e+01,9.774304,0.000000e+00,0.000000
171,8.553500e+01,9.763501,0.000000e+00,0.000000
172,8.603600e+01,9.759501,0.000000e+00,0.000000
173,8.653500e+01,9.753452,0.000000e+00,0.000000
174,8.703600e+01,9.743890,0.000000e+00,0.000000
175,8.753600e+01,9.739258,0.000000e+00,0.000000
176,8.803900e+01,9.729458,0.000000e+00,0.000000
177,8.853600e+01,9.720899,0.000000e+00,0.000000
178,8.903200e+01,9.707345,0.000000e+00,0.000000
179,8.953500e+01,9.700896,0.000000e+00,0.000000
180,9.003600e+01,9.692219,0.000000e+00,0.000000
181,9.053600e+01,9.684872,0.000000e+00,0.000000
182,9.103500e+01,9.676667,0.000000e+00,0.000000
183,9.153600e+01,9.669618,0.000000e+00,0.000000
184,9.203100e+01,9.658117,0.000000e+00,0.000000
185,9.253800e+01,9.648997,0.000000e+00,0.000000
186,9.303500e+01,9.646556,0.000000e+00,0.000000
187,9.353500e+01,9.641020,0.000000e+00,0.000000
188,9.403500e+01,9.634279,0.000000e+00,0.000000
189,9.453800e+01,9.626077,0.000000e+00,0.000000
190,9.503600e+01,9.615840,0.000000e+00,0.000000
191,9.553600e+01,9.609874,0.000000e+00,0.000000
192,9.603600e+01,9.607705,0.000000e+00,0.000000
193,9.653600e+01,9.601858,0.000000e+00,0.000000
194,9.703600e+01,9.597088,0.000000e+00,0.000000
195,9.753900e+01,9.592815,0.000000e+00,0.000000
196,9.803500e+01,9.588788,0.000000e+00,0.000000
197,9.853700e+01,9.582271,0.000000e+00,0.000000
198,9.903600e+01,9.578139,0.000000e+00,0.000000
199,9.953600e+01,9.561704,0.000000e+00,0.000000
200,1.000360e+02,9.551341,0.000000e+00,0.000000
201,1.005350e+02,9.541389,0.000000e+00,0.000000
202,1.010350e+02,9.537271,0.000000e+00,0.000000
203,1.015390e+02,9.530530,0.000000e+00,0.000000
204,1.020370e+02,9.524261,0.000000e+00,0.000000
205,1.025360e+02,9.514476,0.000000e+00,0.000000
206,1.030370e+02,9.505058,0.000000e+00,0.000000
207,1.035360e+02,9.493731,0.000000e+00,0.000000
208,1.040350e+02,9.485535,0.000000e+00,0.000000
209,1.045370e+02,9.475998,0.000000e+00,0.000000
210,1.050400e+02,9.470895,0.000000e+00,0.000000
211,1.055350e+02,9.457411,0.000000e+00,0.000000
212,1.060360e+02,9.448681,0.000000e+00,0.000000
