Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
98,4.903700e+01,10.227464,1.921070e-04,8.382000
99,4.954100e+01,10.228806,1.921070e-04,8.382000
100,5.003700e+01,10.229091,1.921070e-04,8.382000
101,5.054300e+01,10.225699,1.921070e-04,8.382000
102,5.103700e+01,10.228710,1.921070e-04,8.382000
103,5.153900e+01,10.230647,1.921070e-04,8.382000
104,5.203700e+01,10.228204,1.921070e-04,8.382000
105,5.253700e+01,10.229828,1.921070e-04,8.382000
106,5.303700e+01,10.228626,1.921070e-04,8.382000
107,5.354000e+01,10.226716,1.921070e-04,8.382000
108,5.404100e+01,10.227919,1.921070e-04,8.382000
109,5.454100e+01,10.231179,1.921070e-04,8.382000
110,5.503900e+01,10.232119,1.921070e-04,8.382000
111,5.553800e+01,10.231115,1.921070e-04,8.382000
112,5.604100e+01,10.229670,1.921070e-04,8.382000
113,5.653900e+01,10.227075,1.921070e-04,8.382000
114,5.704100e+01,10.225817,1.921070e-04,8.382000
115,5.754700e+01,10.225243,1.921070e-04,8.382000
116,5.804100e+01,10.224184,1.921070e-04,8.382000
117,5.854100e+01,10.220915,1.921070e-04,8.382000
118,5.904100e+01,10.214854,1.921070e-04,8.382000
119,5.954100e+01,10.206752,1.921070e-04,8.382000
120,6.004100e+01,10.200711,1.920470e-04,8.382000
121,6.054100e+01,10.197371,1.920470e-04,8.382000
122,6.103800e+01,10.199032,1.920470e-04,8.382000
123,6.153700e+01,10.200802,1.920470e-04,8.382000
124,6.203700e+01,10.199888,1.920470e-04,8.382000
125,6.253600e+01,10.203483,1.920470e-04,8.382000
126,6.304300e+01,10.205445,1.920470e-04,8.382000
127,6.353700e+01,10.206971,1.920470e-04,8.370000
128,6.404000e+01,10.206645,1.921070e-04,8.382000
129,6.453800e+01,10.205824,1.920470e-04,8.382000
130,6.504200e+01,10.205424,1.920470e-04,8.382000
131,6.553600e+01,10.208338,1.920470e-04,8.382000
132,6.604400e+01,10.215047,1.920470e-04,8.382000
133,6.653800e+01,10.214710,1.921070e-04,8.382000
134,6.703700e+01,10.206836,1.920470e-04,8.382000
135,6.753600e+01,10.205725,1.920470e-04,8.382000
136,6.803700e+01,10.206631,1.920470e-04,8.382000
137,6.853700e+01,10.205292,1.920470e-04,8.382000
138,6.903900e+01,10.204163,1.920470e-04,8.382000
139,6.953700e+01,10.201239,1.920470e-04,8.382000
140,7.003700e+01,10.201328,1.920470e-04,8.382000
141,7.053700e+01,10.197738,1.920470e-04,8.382000
142,7.103700e+01,10.199950,1.920470e-04,8.382000
143,7.153700e+01,10.204054,1.920470e-04,8.382000
144,7.203800e+01,10.210232,1.920470e-04,8.382000
145,7.253700e+01,10.210096,1.921070e-04,8.382000
146,7.303700e+01,10.210991,1.921070e-04,8.382000
147,7.354400e+01,10.207507,1.921070e-04,8.382000
148,7.403700e+01,10.206635,1.921070e-04,8.382000
149,7.454000e+01,10.198064,1.920470e-04,8.382000
150,7.504200e+01,10.193890,1.920470e-04,8.382000
151,7.554100e+01,10.189877,1.920470e-04,8.382000
152,7.604100e+01,10.183879,1.919870e-04,8.376000
153,7.653800e+01,10.184319,1.920470e-04,8.382000
154,7.704200e+01,10.183186,1.920470e-04,8.382000
155,7.754300e+01,10.179852,1.920470e-04,8.382000
156,7.804200e+01,10.177669,1.920470e-04,8.382000
157,7.854200e+01,10.175986,1.920470e-04,8.382000
158,7.903700e+01,10.179681,1.920470e-04,8.382000
159,7.953900e+01,10.183537,1.920470e-04,8.382000
160,8.003900e+01,10.186628,1.920470e-04,8.382000
161,8.053900e+01,10.187783,1.920470e-04,8.382000
162,8.103800e+01,10.188357,1.920470e-04,8.382000
163,8.153900e+01,10.187232,1.920470e-04,8.382000
164,8.203700e+01,10.188117,1.920470e-04,8.382000
165,8.253700e+01,10.193239,1.920470e-04,8.382000
166,8.303700e+01,10.194384,1.920470e-04,8.382000
167,8.354100e+01,10.189908,1.920470e-04,8.382000
168,8.403800e+01,10.186149,1.920470e-04,8.382000
169,8.453800e+01,10.181528,1.920470e-04,8.382000
170,8.503800e+01,10.176809,1.920470e-04,8.382000
171,8.554300e+01,10.173462,1.920470e-04,8.382000
172,8.604200e+01,10.172117,1.920470e-04,8.382000
173,8.654200e+01,10.169222,1.920470e-04,8.382000
174,8.703700e+01,10.169636,1.920470e-04,8.382000
175,8.753700e+01,10.171393,1.920470e-04,8.382000
176,8.803700e+01,10.174665,1.919870e-04,8.376000
177,8.853800e+01,10.180057,1.920470e-04,8.370000
178,8.903700e+01,10.181208,1.920470e-04,8.382000
179,8.953600e+01,10.179914,1.919870e-04,8.376000
180,9.003800e+01,10.178743,1.920470e-04,8.382000
181,9.053800e+01,10.171937,1.920470e-04,8.382000
182,9.103800e+01,10.172580,1.920470e-04,8.382000
183,9.153800e+01,10.173123,1.920470e-04,8.382000
184,9.203700e+01,10.175012,1.920470e-04,8.382000
185,9.253800e+01,10.172004,1.920470e-04,8.382000
186,9.304000e+01,10.170053,1.919870e-04,8.376000
187,9.354400e+01,10.162765,1.919870e-04,8.376000
188,9.404700e+01,10.161907,1.919870e-04,8.388000
189,9.454300e+01,10.159181,1.920470e-04,8.382000
190,9.503900e+01,10.159999,1.920470e-04,8.382000
191,9.554200e+01,10.156926,1.920470e-04,8.382000
192,9.604100e+01,10.153399,1.919870e-04,8.376000
193,9.653700e+01,10.153672,1.919870e-04,8.376000
194,9.704200e+01,10.151155,1.919870e-04,8.376000
195,9.753600e+01,10.152017,1.919870e-04,8.376000
196,9.803800e+01,10.152823,1.919870e-04,8.376000
197,9.853700e+01,10.152640,1.919870e-04,8.376000
198,9.904100e+01,10.150603,1.918680e-04,8.376000
199,9.953900e+01,10.153217,1.918680e-04,8.376000
200,1.000430e+02,10.155299,1.919870e-04,8.388000
201,1.005360e+02,10.157905,1.919870e-04,8.376000
202,1.010380e+02,10.159648,1.919870e-04,8.376000
203,1.015370e+02,10.157916,1.919870e-04,8.376000
204,1.020360e+02,10.156064,1.920470e-04,8.382000
205,1.025370e+02,10.154914,1.919870e-04,8.376000
206,1.030370e+02,10.153708,1.919870e-04,8.376000
207,1.035410e+02,10.150107,1.919870e-04,8.388000
208,1.040410e+02,10.149529,1.919870e-04,8.388000
209,1.045400e+02,10.149495,1.919870e-04,8.376000
210,1.050370e+02,10.149829,1.919870e-04,8.376000
211,1.055400e+02,10.150256,1.919870e-04,8.388000
212,1.060420e+02,10.149748,1.919870e-04,8.388000
