Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
98,4.904200e+01,9.888735,3.397480e-06,8.130000
99,4.953800e+01,9.890004,4.112750e-06,8.328000
100,5.004400e+01,9.892091,3.397480e-06,8.532000
101,5.053700e+01,9.889832,2.920640e-06,8.502000
102,5.103600e+01,9.889642,2.145780e-06,8.130000
103,5.153900e+01,9.892122,1.668940e-06,7.818000
104,5.204000e+01,9.892221,2.264990e-06,8.490000
105,5.254300e+01,9.898235,4.828010e-06,8.400000
106,5.304000e+01,9.900830,9.000360e-06,8.430000
107,5.354100e+01,9.903387,1.138450e-05,8.388000
108,5.404200e+01,9.908223,1.150380e-05,8.292000
109,5.454600e+01,9.907108,1.186140e-05,8.292000
110,5.503700e+01,9.903432,8.285100e-06,8.430000
111,5.554000e+01,9.903560,5.185630e-06,8.184000
112,5.604100e+01,9.906789,5.304840e-06,8.178000
113,5.653700e+01,9.904593,5.662470e-06,8.178000
114,5.703700e+01,9.901445,4.053140e-06,7.998000
115,5.753600e+01,9.901431,3.278270e-06,8.130000
116,5.804000e+01,9.901981,4.053140e-06,8.394000
117,5.854300e+01,9.904300,6.318120e-06,8.430000
118,5.904100e+01,9.903362,5.781680e-06,8.268000
119,5.953700e+01,9.905260,5.185630e-06,8.028000
120,6.003800e+01,9.904453,6.318120e-06,8.172000
121,6.053700e+01,9.904057,5.543260e-06,8.274000
122,6.103600e+01,9.903849,4.649190e-06,8.190000
123,6.153600e+01,9.903239,4.231960e-06,8.130000
124,6.203700e+01,9.900950,3.278270e-06,8.214000
125,6.253700e+01,9.903303,3.278270e-06,7.968000
126,6.304100e+01,9.910571,7.808270e-06,8.262000
127,6.354100e+01,9.914981,2.062330e-05,8.340000
128,6.404200e+01,9.920253,2.437840e-05,8.376000
129,6.453800e+01,9.919636,2.545130e-05,8.388000
130,6.503800e+01,9.916198,1.752390e-05,8.334000
131,6.553500e+01,9.918485,1.424560e-05,8.280000
132,6.603900e+01,9.920856,1.645100e-05,8.310000
133,6.654000e+01,9.921452,2.086170e-05,8.412000
134,6.703500e+01,9.918973,2.336510e-05,8.388000
135,6.753800e+01,9.916199,1.710660e-05,8.388000
136,6.803700e+01,9.915483,1.192100e-05,8.244000
137,6.853700e+01,9.917723,1.031170e-05,8.286000
138,6.903600e+01,9.920705,1.555690e-05,8.370000
139,6.954000e+01,9.924618,2.414000e-05,8.328000
140,7.004200e+01,9.928234,3.612060e-05,8.376000
141,7.054800e+01,9.927337,3.474970e-05,8.352000
142,7.103700e+01,9.925189,2.551090e-05,8.322000
143,7.153700e+01,9.924707,2.104060e-05,8.322000
144,7.203500e+01,9.921484,1.579530e-05,8.286000
145,7.253900e+01,9.923380,1.680860e-05,8.304000
146,7.303700e+01,9.925762,2.425920e-05,8.394000
147,7.353900e+01,9.923798,2.527250e-05,8.364000
148,7.404000e+01,9.929183,2.884880e-05,8.352000
149,7.454200e+01,9.933356,4.059100e-05,8.370000
150,7.504200e+01,9.933424,4.708790e-05,8.394000
151,7.553800e+01,9.936629,4.100820e-05,8.370000
152,7.603600e+01,9.936532,4.041220e-05,8.370000
153,7.653700e+01,9.933916,3.331920e-05,8.382000
154,7.703600e+01,9.930636,2.741830e-05,8.370000
155,7.753600e+01,9.930957,2.199420e-05,8.412000
156,7.803600e+01,9.928746,2.533210e-05,8.388000
157,7.853600e+01,9.927931,2.431880e-05,8.418000
158,7.903700e+01,9.925356,2.145780e-05,8.334000
159,7.953700e+01,9.926256,2.259030e-05,8.346000
160,8.003700e+01,9.929445,2.563010e-05,8.358000
161,8.053700e+01,9.930230,3.641870e-05,8.352000
162,8.103900e+01,9.934332,3.731270e-05,8.382000
163,8.153500e+01,9.933558,3.963730e-05,8.376000
164,8.203600e+01,9.932278,3.677630e-05,8.412000
165,8.254100e+01,9.936928,3.749160e-05,8.388000
166,8.304200e+01,9.940777,5.567100e-05,8.358000
167,8.354300e+01,9.943955,7.641360e-05,8.388000
168,8.404200e+01,9.945268,7.528110e-05,8.370000
169,8.453800e+01,9.950690,7.402940e-05,8.394000
170,8.504600e+01,9.952950,8.404300e-05,8.382000
171,8.554200e+01,9.954645,8.827490e-05,8.382000
172,8.603700e+01,9.954030,8.195690e-05,8.376000
173,8.654900e+01,9.957322,8.362580e-05,8.382000
174,8.704300e+01,9.957499,9.131480e-05,8.376000
175,8.753700e+01,9.954266,8.082440e-05,8.388000
176,8.803800e+01,9.951956,7.116840e-05,8.394000
177,8.853700e+01,9.952325,6.550600e-05,8.376000
178,8.903800e+01,9.948028,5.888960e-05,8.382000
179,8.953700e+01,9.947819,4.875680e-05,8.376000
180,9.003600e+01,9.947633,5.227350e-05,8.376000
181,9.053600e+01,9.951117,5.668430e-05,8.382000
182,9.103600e+01,9.954333,8.153960e-05,8.370000
183,9.154300e+01,9.957854,9.363940e-05,8.382000
184,9.204400e+01,9.961192,1.086000e-04,8.388000
185,9.253700e+01,9.959486,1.116400e-04,8.388000
186,9.303600e+01,9.956736,9.495070e-05,8.382000
187,9.353700e+01,9.953687,7.432750e-05,8.394000
188,9.404400e+01,9.957470,7.987070e-05,8.376000
189,9.453600e+01,9.956893,9.352020e-05,8.382000
190,9.503600e+01,9.956044,8.773850e-05,8.376000
191,9.553700e+01,9.957378,8.654640e-05,8.382000
192,9.604200e+01,9.963240,1.110440e-04,8.382000
193,9.653800e+01,9.960327,1.161700e-04,8.376000
194,9.703700e+01,9.962878,9.918260e-05,8.370000
195,9.753700e+01,9.962740,1.115800e-04,8.370000
196,9.804200e+01,9.966186,1.121170e-04,8.376000
197,9.853900e+01,9.964935,1.165870e-04,8.376000
198,9.903600e+01,9.961963,1.078850e-04,8.388000
199,9.953600e+01,9.957610,8.028790e-05,8.382000
200,1.000370e+02,9.959075,6.699610e-05,8.382000
201,1.005360e+02,9.961959,8.779810e-05,8.388000
202,1.010370e+02,9.961552,1.009110e-04,8.370000
203,1.015390e+02,9.961068,9.393740e-05,8.370000
204,1.020380e+02,9.964235,1.006730e-04,8.382000
205,1.025450e+02,9.965520,1.184350e-04,8.388000
206,1.030420e+02,9.967836,1.149780e-04,8.382000
207,1.035410e+02,9.978474,1.350650e-04,8.376000
208,1.040370e+02,9.976458,1.496090e-04,8.376000
209,1.045390e+02,9.979591,1.464500e-04,8.376000
210,1.050400e+02,9.980063,1.552110e-04,8.376000
211,1.055420e+02,9.981038,1.587880e-04,8.376000
212,1.060410e+02,9.983166,1.587880e-04,8.376000
213,1.065420e+02,9.986426,1.639140e-04,8.376000
214,1.070410e+02,9.988003,1.691590e-04,8.376000
215,1.075400e+02,9.988148,1.670130e-04,8.382000
216,1.080360e+02,9.985076,1.565230e-04,8.382000
217,1.085370e+02,9.981052,1.346480e-04,8.388000
218,1.090360e+02,9.980360,1.283890e-04,8.376000
219,1.095370e+02,9.985942,1.447810e-04,8.382000
220,1.100370e+02,9.985759,1.627220e-04,8.376000
221,1.105400e+02,9.988530,1.645690e-04,8.382000
222,1.110380e+02,9.987864,1.662380e-04,8.376000
223,1.115400e+02,9.987188,1.632580e-04,8.382000
224,1.120370e+02,9.982642,1.497870e-04,8.376000
225,1.125360e+02,9.976916,1.249920e-04,8.376000
226,1.130370e+02,9.974761,1.093150e-04,8.376000
227,1.135410e+02,9.977871,1.214750e-04,8.382000
228,1.140400e+02,9.976008,1.389990e-04,8.388000
229,1.145370e+02,9.976247,1.331580e-04,8.388000
230,1.150430e+02,9.978022,1.416810e-04,8.382000
231,1.155400e+02,9.982475,1.521120e-04,8.376000
232,1.160400e+02,9.980596,1.562250e-04,8.376000
233,1.165430e+02,9.982992,1.528870e-04,8.382000
234,1.170420e+02,9.985490,1.614100e-04,8.382000
235,1.175400e+02,9.993431,1.696360e-04,8.376000
236,1.180420e+02,9.995317,1.779800e-04,8.382000
237,1.185480e+02,9.995919,1.774440e-04,8.382000
238,1.190420e+02,10.001041,1.793510e-04,8.382000
239,1.195410e+02,10.007746,1.840000e-04,8.376000
240,1.200400e+02,10.009286,1.873980e-04,8.382000
241,1.205410e+02,10.007013,1.834040e-04,8.382000
242,1.210370e+02,10.005534,1.793510e-04,8.382000
243,1.215360e+02,10.008428,1.797090e-04,8.376000
244,1.220420e+02,10.012690,1.837620e-04,8.382000
245,1.225410e+02,10.014413,1.864440e-04,8.376000
246,1.230410e+02,10.011971,1.865630e-04,8.388000
247,1.235400e+02,10.011317,1.834040e-04,8.382000
248,1.240370e+02,10.010139,1.835240e-04,8.376000
249,1.245400e+02,10.008801,1.829870e-04,8.376000
250,1.250410e+02,10.005817,1.837020e-04,8.376000
251,1.255360e+02,10.001988,1.774440e-04,8.382000
252,1.260360e+02,9.992725,1.637350e-04,8.376000
253,1.265360e+02,9.992197,1.416810e-04,8.376000
254,1.270360e+02,9.994232,1.540190e-04,8.376000
255,1.275370e+02,9.999054,1.708280e-04,8.382000
256,1.280370e+02,10.001284,1.786360e-04,8.382000
257,1.285370e+02,10.000843,1.807820e-04,8.376000
258,1.290360e+02,10.003216,1.786360e-04,8.376000
259,1.295370e+02,10.002166,1.781000e-04,8.382000
260,1.300420e+02,10.005489,1.800670e-04,8.382000
261,1.305410e+02,10.010622,1.835830e-04,8.376000
262,1.310360e+02,10.013385,1.867420e-04,8.382000
263,1.315460e+02,10.020905,1.884710e-04,8.388000
264,1.320420e+02,10.028429,1.900210e-04,8.382000
265,1.325420e+02,10.030555,1.902590e-04,8.382000
266,1.330390e+02,10.030048,1.903190e-04,8.388000
267,1.335370e+02,10.027121,1.893650e-04,8.382000
268,1.340370e+02,10.024049,1.872790e-04,8.382000
269,1.345430e+02,10.020078,1.858480e-04,8.382000
270,1.350400e+02,10.019792,1.845370e-04,8.382000
271,1.355420e+02,10.021096,1.867420e-04,8.382000
272,1.360420e+02,10.018242,1.863250e-04,8.388000
273,1.365380e+02,10.018524,1.852520e-04,8.376000
274,1.370400e+02,10.015826,1.853120e-04,8.376000
275,1.375390e+02,10.017394,1.850140e-04,8.376000
276,1.380380e+02,10.017750,1.866830e-04,8.376000
277,1.385360e+02,10.020618,1.875170e-04,8.382000
278,1.390400e+02,10.020427,1.879940e-04,8.376000
279,1.395360e+02,10.026658,1.886500e-04,8.382000
280,1.400370e+02,10.025601,1.894840e-04,8.376000
281,1.405370e+02,10.027195,1.893650e-04,8.376000
282,1.410370e+02,10.029919,1.898420e-04,8.382000
283,1.415410e+02,10.031807,1.900210e-04,8.382000
284,1.420420e+02,10.033962,1.903780e-04,8.376000
285,1.425420e+02,10.036088,1.905570e-04,8.376000
286,1.430380e+02,10.035434,1.906170e-04,8.376000
287,1.435420e+02,10.036211,1.901990e-04,8.382000
288,1.440430e+02,10.038754,1.904970e-04,8.376000
289,1.445410e+02,10.035319,1.904380e-04,8.382000
290,1.450430e+02,10.033212,1.899010e-04,8.376000
291,1.455370e+02,10.030964,1.897230e-04,8.376000
292,1.460420e+02,10.032021,1.892460e-04,8.376000
293,1.465350e+02,10.033516,1.897820e-04,8.382000
294,1.470440e+02,10.033521,1.900800e-04,8.376000
295,1.475370e+02,10.036365,1.903190e-04,8.376000
296,1.480420e+02,10.039905,1.907950e-04,8.376000
297,1.485420e+02,10.040828,1.909740e-04,8.376000
298,1.490410e+02,10.041484,1.907950e-04,8.376000
299,1.495410e+02,10.044630,1.909150e-04,8.382000
300,1.500430e+02,10.047729,1.911530e-04,8.382000
301,1.505440e+02,10.044682,1.910930e-04,8.382000
302,1.510400e+02,10.042302,1.906760e-04,8.382000
303,1.515430e+02,10.042736,1.900210e-04,8.382000
304,1.520440e+02,10.046195,1.904380e-04,8.382000
305,1.525420e+02,10.047915,1.909150e-04,8.382000
306,1.530420e+02,10.045171,1.909740e-04,8.376000
307,1.535380e+02,10.043979,1.907360e-04,8.382000
308,1.540380e+02,10.045890,1.907950e-04,8.376000
309,1.545420e+02,10.049265,1.910930e-04,8.382000
310,1.550390e+02,10.052222,1.912720e-04,8.382000
311,1.555430e+02,10.055868,1.913910e-04,8.376000
