Point,Time (s),Temperature (K)
0,1.100000e-02,9.000294
1,5.100000e-01,9.007048
2,1.010000e+00,9.011429
3,1.510000e+00,9.003690
4,2.010000e+00,9.001896
5,2.510000e+00,8.996858
6,3.010000e+00,8.999748
7,3.510000e+00,9.000137
8,4.010000e+00,9.017864
9,4.510000e+00,9.084287
10,5.010000e+00,9.163388
11,5.511000e+00,9.279717
12,6.011000e+00,9.369845
13,6.511000e+00,9.485322
14,7.013000e+00,9.585752
15,7.512000e+00,9.716222
16,8.013000e+00,9.812099
17,8.511000e+00,9.892928
18,9.013000e+00,9.977155
19,9.511000e+00,10.034531
20,1.001500e+01,10.085977
21,1.051600e+01,10.125911
22,1.101500e+01,10.180859
23,1.151600e+01,10.208172
24,1.201600e+01,10.233670
25,1.251600e+01,10.253865
26,1.301600e+01,10.269773
27,1.351600e+01,10.270545
28,1.401100e+01,10.266409
29,1.451100e+01,10.253698
30,1.501100e+01,10.222100
31,1.551000e+01,10.205555
32,1.601200e+01,10.187865
33,1.651100e+01,10.176331
34,1.701100e+01,10.144732
35,1.751100e+01,10.124689
36,1.801100e+01,10.107947
37,1.851100e+01,10.101810
38,1.901100e+01,10.075982
39,1.951100e+01,10.061241
40,2.001100e+01,10.054086
41,2.051100e+01,10.056698
42,2.101100e+01,10.052671
43,2.151300e+01,10.048409
44,2.201100e+01,10.028709
45,2.251300e+01,10.018050
46,2.301100e+01,10.004401
47,2.351200e+01,9.988424
48,2.401000e+01,9.965615
49,2.450900e+01,9.957180
50,2.501100e+01,9.965253
51,2.551100e+01,9.976498
52,2.601000e+01,9.979857
53,2.651000e+01,9.983422
54,2.701100e+01,9.994253
55,2.751000e+01,9.984089
56,2.801000e+01,9.974877
57,2.851000e+01,9.978110
58,2.901000e+01,9.976146
59,2.951000e+01,9.981631
60,3.001000e+01,9.984531
61,3.051000e+01,9.975726
62,3.101100e+01,9.980984
63,3.151000e+01,9.991019
64,3.201000e+01,9.994532
65,3.251100e+01,10.005461
66,3.301000e+01,10.014845
67,3.351100e+01,10.017524
68,3.401000e+01,10.019833
69,3.451000e+01,10.018102
70,3.501700e+01,10.009955
71,3.551500e+01,9.998610
72,3.601300e+01,9.996596
73,3.651100e+01,10.001156
74,3.701300e+01,10.004272
75,3.751100e+01,10.008177
76,3.801300e+01,10.007830
77,3.851000e+01,10.008668
78,3.901100e+01,10.011683
79,3.951100e+01,9.999017
80,4.001000e+01,9.977046
81,4.051000e+01,9.977688
82,4.101000e+01,9.981898
83,4.151000e+01,9.986494
84,4.201000e+01,9.995028
85,4.251000e+01,10.000039
86,4.301000e+01,9.983409
87,4.351000e+01,9.976476
88,4.401000e+01,9.980932
89,4.451000e+01,9.984292
90,4.501000e+01,9.998531
91,4.551000e+01,10.000797
92,4.601000e+01,9.993349
93,4.651000e+01,9.986879
94,4.701000e+01,9.990493
95,4.751100e+01,10.001477
96,4.801000e+01,10.000604
97,4.851000e+01,9.995537
98,4.901100e+01,9.992532
99,4.951000e+01,9.991356
100,5.001100e+01,10.001998
101,5.051400e+01,10.007674
102,5.101000e+01,10.015172
103,5.151300e+01,10.021551
104,5.201000e+01,10.016207
105,5.251300e+01,10.017457
106,5.301100e+01,10.013397
107,5.351000e+01,10.008865
108,5.401500e+01,10.005366
109,5.451000e+01,10.009647
110,5.501000e+01,10.010367
111,5.551000e+01,10.003106
112,5.601000e+01,10.001430
113,5.651000e+01,10.002647
