Point,Time (s),Temperature (K)
0,1.100000e-02,9.062191
1,5.090000e-01,9.074020
2,1.008000e+00,9.071891
3,1.508000e+00,9.063197
4,2.009000e+00,9.122937
5,2.510000e+00,9.249625
6,3.012000e+00,9.478083
7,3.511000e+00,9.691990
8,4.014000e+00,9.965915
9,4.515000e+00,10.175070
10,5.013000e+00,10.400943
11,5.513000e+00,10.536341
12,6.013000e+00,10.637392
13,6.513000e+00,10.657475
14,7.009000e+00,10.603967
15,7.510000e+00,10.471116
16,8.009000e+00,10.320475
17,8.509000e+00,10.105924
18,9.009000e+00,9.934499
19,9.509000e+00,9.750720
20,1.000900e+01,9.643633
21,1.050900e+01,9.570190
22,1.100900e+01,9.560918
23,1.150900e+01,9.606248
24,1.200900e+01,9.677962
25,1.250900e+01,9.795643
26,1.300900e+01,9.897080
27,1.350900e+01,10.023666
28,1.401000e+01,10.118584
29,1.450900e+01,10.214299
30,1.501000e+01,10.267545
31,1.550900e+01,10.297050
32,1.601000e+01,10.289219
33,1.650900e+01,10.241665
34,1.700900e+01,10.177888
35,1.750900e+01,10.081851
36,1.800900e+01,10.003665
37,1.850900e+01,9.916821
38,1.900900e+01,9.860437
39,1.950900e+01,9.814290
40,2.001100e+01,9.799489
41,2.051000e+01,9.811966
42,2.101000e+01,9.840509
43,2.151000e+01,9.891230
44,2.200900e+01,9.950344
45,2.251100e+01,9.999375
46,2.300900e+01,10.054669
47,2.350900e+01,10.089488
48,2.401000e+01,10.119383
49,2.450900e+01,10.129478
50,2.500900e+01,10.126478
51,2.550900e+01,10.109939
52,2.600900e+01,10.074880
53,2.650900e+01,10.040823
54,2.700900e+01,9.997171
55,2.750900e+01,9.964675
56,2.800900e+01,9.933182
57,2.850900e+01,9.917595
58,2.900900e+01,9.908682
59,2.950900e+01,9.909978
60,3.000900e+01,9.923862
61,3.050900e+01,9.944362
62,3.100900e+01,9.975597
63,3.150900e+01,10.000919
64,3.201000e+01,10.031555
65,3.251000e+01,10.051890
66,3.300900e+01,10.070102
67,3.351000e+01,10.078149
68,3.401000e+01,10.078566
69,3.451100e+01,10.068453
70,3.500900e+01,10.045171
71,3.551300e+01,10.014671
72,3.600900e+01,9.987118
73,3.650900e+01,9.954598
74,3.700900e+01,9.937325
75,3.750900e+01,9.928612
76,3.800900e+01,9.929681
77,3.850900e+01,9.939245
78,3.900900e+01,9.955601
79,3.950900e+01,9.981370
80,4.000900e+01,10.002088
81,4.050900e+01,10.022476
82,4.100900e+01,10.033330
83,4.150900e+01,10.041614
84,4.200900e+01,10.043444
85,4.250900e+01,10.038427
86,4.300900e+01,10.031206
87,4.350900e+01,10.025481
88,4.401000e+01,10.019148
89,4.450900e+01,10.005313
90,4.500900e+01,9.990687
91,4.550900e+01,9.976341
92,4.600900e+01,9.971285
93,4.650900e+01,9.969526
94,4.700900e+01,9.972293
95,4.750900e+01,9.977135
96,4.800900e+01,9.982563
97,4.850900e+01,9.993677
98,4.901000e+01,10.001086
99,4.950900e+01,10.007873
100,5.001300e+01,10.012688
101,5.050900e+01,10.015653
102,5.100900e+01,10.015544
103,5.150900e+01,10.013656
104,5.200900e+01,10.007123
105,5.250900e+01,10.001145
106,5.300900e+01,9.992751
107,5.350900e+01,9.988214
108,5.400800e+01,9.989005
109,5.450900e+01,9.990149
110,5.500900e+01,9.993983
111,5.550900e+01,9.998159
112,5.600900e+01,10.001183
113,5.650900e+01,10.000754
114,5.701200e+01,9.998890
115,5.751200e+01,9.999671
116,5.801200e+01,10.003078
117,5.851200e+01,10.004545
118,5.901200e+01,10.006096
119,5.951200e+01,10.009298
120,6.001300e+01,10.010077
121,6.050900e+01,10.007315
122,6.100900e+01,9.998937
123,6.150900e+01,9.990917
124,6.200900e+01,9.987309
125,6.251200e+01,9.991526
126,6.300900e+01,9.998849
127,6.351000e+01,10.003492
128,6.400900e+01,10.007348
129,6.451200e+01,10.007582
130,6.500900e+01,10.007871
131,6.550900e+01,10.006735
132,6.600900e+01,10.004341
133,6.650900e+01,10.001728
134,6.700900e+01,10.001211
135,6.750800e+01,10.000047
136,6.800900e+01,9.999214
137,6.850900e+01,9.995320
138,6.900900e+01,9.991971
139,6.950900e+01,9.989252
140,7.000900e+01,9.985966
141,7.050900e+01,9.984818
142,7.100900e+01,9.985455
143,7.151200e+01,9.990267
144,7.201200e+01,9.997820
145,7.251300e+01,10.010531
146,7.301300e+01,10.019589
147,7.351200e+01,10.025600
148,7.401300e+01,10.024280
149,7.451200e+01,10.020461
150,7.501200e+01,10.019234
151,7.551200e+01,10.016358
152,7.601600e+01,10.012351
153,7.651500e+01,10.004123
154,7.701400e+01,9.996129
155,7.751400e+01,9.986880
156,7.801200e+01,9.980544
157,7.851100e+01,9.975709
158,7.901400e+01,9.974847
159,7.951200e+01,9.977405
160,8.001400e+01,9.979430
161,8.051400e+01,9.981900
162,8.101400e+01,9.985446
163,8.151300e+01,9.988834
164,8.200900e+01,9.996895
165,8.250900e+01,10.005291
166,8.300900e+01,10.015667
167,8.350900e+01,10.026087
168,8.401000e+01,10.036482
169,8.450900e+01,10.038103
170,8.501000e+01,10.030000
171,8.551000e+01,10.017486
172,8.601000e+01,10.002554
173,8.650900e+01,9.992630
174,8.700900e+01,9.983502
175,8.750800e+01,9.980093
176,8.800900e+01,9.980087
177,8.851500e+01,9.980256
178,8.901500e+01,9.979279
179,8.952800e+01,9.983009
