Point,Time (s),Temperature (K)
185,9.251000e+01,9.972277
186,9.301200e+01,9.959385
187,9.351000e+01,9.960424
188,9.401100e+01,9.972908
189,9.451000e+01,9.975474
190,9.501100e+01,9.964033
191,9.551000e+01,9.968251
192,9.601100e+01,9.986843
193,9.651000e+01,10.000655
194,9.701100e+01,10.010588
195,9.751600e+01,10.014073
196,9.801600e+01,10.018472
197,9.851200e+01,10.021375
198,9.900900e+01,10.028861
199,9.950900e+01,10.032276
200,1.000100e+02,10.031528
201,1.005100e+02,10.034189
202,1.010100e+02,10.029368
203,1.015090e+02,10.017203
204,1.020100e+02,10.004137
205,1.025100e+02,10.000712
206,1.030100e+02,9.993131
207,1.035080e+02,9.985921
208,1.040100e+02,9.980941
209,1.045170e+02,9.974833
210,1.050150e+02,9.982002
211,1.055150e+02,9.990945
212,1.060150e+02,9.995783
213,1.065180e+02,9.989057
214,1.070150e+02,9.974440
215,1.075140e+02,9.965281
216,1.080100e+02,9.964574
217,1.085100e+02,9.981685
218,1.090100e+02,9.991961
219,1.095100e+02,9.991010
220,1.100090e+02,9.994458
221,1.105130e+02,9.990574
222,1.110120e+02,9.988904
223,1.115150e+02,9.995256
224,1.120140e+02,9.997478
225,1.125140e+02,9.997487
226,1.130140e+02,10.014673
227,1.135150e+02,10.031574
228,1.140100e+02,10.043041
229,1.145100e+02,10.034628
230,1.150100e+02,10.021801
231,1.155100e+02,10.014946
232,1.160090e+02,10.005115
233,1.165090e+02,9.990247
234,1.170130e+02,9.989236
235,1.175130e+02,9.990433
236,1.180200e+02,9.994740
237,1.185150e+02,10.009195
238,1.190100e+02,10.011796
239,1.195090e+02,10.008048
240,1.200130e+02,10.001131
241,1.205090e+02,9.991999
242,1.210120e+02,9.991549
243,1.215090e+02,9.986931
244,1.220180e+02,9.982978
245,1.225140e+02,9.986615
246,1.230140e+02,9.997719
247,1.235140e+02,10.008256
248,1.240130e+02,10.008973
249,1.245090e+02,9.996202
250,1.250090e+02,9.988965
251,1.255090e+02,9.991949
252,1.260100e+02,9.981513
253,1.265100e+02,9.977298
254,1.270100e+02,9.973267
255,1.275100e+02,9.964461
256,1.280090e+02,9.972953
257,1.285090e+02,9.981020
258,1.290090e+02,9.994491
259,1.295090e+02,10.007599
260,1.300100e+02,10.017164
261,1.305100e+02,10.017268
262,1.310100e+02,10.024002
263,1.315100e+02,10.016267
264,1.320100e+02,9.999036
265,1.325100e+02,9.988355
266,1.330080e+02,9.987572
267,1.335090e+02,10.001200
268,1.340090e+02,10.011114
269,1.345130e+02,10.021454
270,1.350100e+02,10.032353
271,1.355130e+02,10.033921
272,1.360090e+02,10.032812
273,1.365110e+02,10.024395
274,1.370090e+02,10.017474
275,1.375090e+02,10.012568
276,1.380090e+02,10.004588
277,1.385100e+02,9.995356
278,1.390100e+02,9.989590
279,1.395100e+02,9.981990
280,1.400080e+02,9.978945
281,1.405090e+02,9.977023
282,1.410100e+02,9.966622
283,1.415150e+02,9.951284
284,1.420090e+02,9.963997
285,1.425110e+02,9.980917
286,1.430100e+02,9.982578
287,1.435090e+02,9.982782
288,1.440090e+02,9.990927
289,1.445100e+02,10.006180
290,1.450100e+02,10.013169
291,1.455100e+02,10.018183
292,1.460090e+02,10.024551
293,1.465100e+02,10.024387
294,1.470120e+02,10.019649
295,1.475090e+02,10.008991
296,1.480190e+02,10.006886
297,1.485090e+02,10.008990
298,1.490120e+02,10.009088
299,1.495100e+02,10.005053
300,1.500120e+02,10.002285
301,1.505100e+02,9.999979
302,1.510120e+02,10.001282
303,1.515090e+02,10.000604
304,1.520090e+02,9.999737
305,1.525090e+02,9.992826
306,1.530090e+02,9.973820
307,1.535100e+02,9.968724
308,1.540080e+02,9.974769
309,1.545090e+02,9.986860
310,1.550100e+02,10.003668
311,1.555110e+02,10.014830
312,1.560090e+02,10.017146
313,1.565080e+02,10.020997
314,1.570100e+02,10.023227
315,1.575100e+02,10.023039
316,1.580100e+02,10.014215
317,1.585100e+02,10.004084
318,1.590090e+02,9.991482
319,1.595100e+02,9.980795
320,1.600090e+02,9.963513
321,1.605090e+02,9.964436
322,1.610090e+02,9.971518
323,1.615100e+02,9.978252
324,1.620090e+02,9.986249
325,1.625200e+02,10.001279
326,1.630100e+02,10.020661
327,1.635130e+02,10.023813
328,1.640090e+02,10.007779
329,1.645130e+02,9.991586
330,1.650090e+02,9.981449
331,1.655120e+02,9.984695
332,1.660100e+02,9.995952
333,1.665100e+02,10.012352
334,1.670100e+02,10.020748
335,1.675090e+02,10.020229
336,1.680100e+02,10.010433
337,1.685090e+02,9.995077
338,1.690090e+02,9.989582
339,1.695090e+02,9.987234
340,1.700090e+02,9.982546
341,1.705090e+02,9.981601
342,1.710080e+02,9.985849
343,1.715240e+02,9.989811
344,1.720090e+02,9.991219
345,1.725090e+02,9.996220
346,1.730090e+02,9.997391
347,1.735100e+02,10.007579
348,1.740100e+02,10.024691
349,1.745100e+02,10.026170
350,1.750100e+02,10.009950
351,1.755090e+02,10.004606
352,1.760100e+02,10.010760
353,1.765100e+02,10.022180
354,1.770100e+02,10.029634
355,1.775090e+02,10.030117
356,1.780120e+02,10.026184
357,1.785100e+02,10.024881
358,1.790120e+02,10.012042
359,1.795210e+02,9.988461
