Point,Time (s),Temperature (K)
0,1.100000e-02,9.046721
1,5.090000e-01,9.054557
2,1.009000e+00,9.056799
3,1.509000e+00,9.049733
4,2.010000e+00,9.039979
5,2.509000e+00,9.023090
6,3.010000e+00,9.027707
7,3.514000e+00,9.107529
8,4.013000e+00,9.235096
9,4.515000e+00,9.459754
10,5.016000e+00,9.675758
11,5.514000e+00,9.961205
12,6.012000e+00,10.190366
13,6.516000e+00,10.454993
14,7.016000e+00,10.635810
15,7.514000e+00,10.805386
16,8.014000e+00,10.890330
17,8.514000e+00,10.931206
18,9.010000e+00,10.913320
19,9.510000e+00,10.828489
20,1.001100e+01,10.720230
21,1.051000e+01,10.543662
22,1.101300e+01,10.370929
23,1.151000e+01,10.121477
24,1.201200e+01,9.920712
25,1.250900e+01,9.710732
26,1.301300e+01,9.551638
27,1.350900e+01,9.466549
28,1.401000e+01,9.415349
29,1.450900e+01,9.426134
30,1.501000e+01,9.500207
31,1.550900e+01,9.592011
32,1.601000e+01,9.737973
33,1.650900e+01,9.871499
34,1.701000e+01,10.040069
35,1.751000e+01,10.169807
36,1.801000e+01,10.319586
37,1.851000e+01,10.421446
38,1.901000e+01,10.505024
39,1.951000e+01,10.535323
40,2.001000e+01,10.531009
41,2.051000e+01,10.494500
42,2.101000e+01,10.398026
43,2.150900e+01,10.280030
44,2.201000e+01,10.100228
45,2.250900e+01,9.942217
46,2.300900e+01,9.750216
47,2.350800e+01,9.629870
48,2.401100e+01,9.536465
49,2.450900e+01,9.500719
50,2.501000e+01,9.491227
51,2.551300e+01,9.517682
52,2.601000e+01,9.599517
53,2.651200e+01,9.697289
54,2.700900e+01,9.839844
55,2.751200e+01,9.987062
56,2.801100e+01,10.105645
57,2.851000e+01,10.240589
58,2.901000e+01,10.332582
59,2.951000e+01,10.420333
60,3.001000e+01,10.465837
61,3.051000e+01,10.481171
62,3.101000e+01,10.451990
63,3.151000e+01,10.368617
64,3.201000e+01,10.271773
65,3.251000e+01,10.122083
66,3.301400e+01,9.984405
67,3.351000e+01,9.815991
68,3.401000e+01,9.711880
69,3.450900e+01,9.615587
70,3.500900e+01,9.566719
71,3.550900e+01,9.539554
72,3.601000e+01,9.557548
73,3.650900e+01,9.629535
74,3.701000e+01,9.716879
75,3.750900e+01,9.849924
76,3.801000e+01,9.959142
77,3.851000e+01,10.091472
78,3.901000e+01,10.194130
79,3.951000e+01,10.299328
80,4.001300e+01,10.355085
81,4.051000e+01,10.389502
82,4.101400e+01,10.397235
83,4.151000e+01,10.376291
84,4.201500e+01,10.313706
85,4.251000e+01,10.237334
86,4.301000e+01,10.119150
87,4.351000e+01,10.013910
88,4.400900e+01,9.877721
89,4.450900e+01,9.777064
90,4.500900e+01,9.672554
91,4.550900e+01,9.618896
92,4.600900e+01,9.598577
93,4.650900e+01,9.610731
94,4.701000e+01,9.656422
95,4.750900e+01,9.719050
96,4.800900e+01,9.820368
97,4.850900e+01,9.919451
98,4.901000e+01,10.051440
99,4.951000e+01,10.152364
100,5.001000e+01,10.258953
101,5.051200e+01,10.321377
102,5.101000e+01,10.371839
103,5.151000e+01,10.385188
104,5.201000e+01,10.368350
105,5.251000e+01,10.325236
106,5.301000e+01,10.236766
107,5.351100e+01,10.145371
108,5.401000e+01,10.016317
109,5.451300e+01,9.908339
110,5.501000e+01,9.787480
111,5.551200e+01,9.716291
112,5.601000e+01,9.655216
113,5.651200e+01,9.630556
114,5.701000e+01,9.641854
115,5.751000e+01,9.686496
116,5.801000e+01,9.747338
117,5.850900e+01,9.847810
118,5.900900e+01,9.939318
119,5.951000e+01,10.049772
120,6.001000e+01,10.123050
121,6.051100e+01,10.199022
122,6.101000e+01,10.255069
123,6.151000e+01,10.306396
124,6.201000e+01,10.326488
125,6.250900e+01,10.325048
126,6.301000e+01,10.300701
127,6.351000e+01,10.235897
128,6.401000e+01,10.156638
129,6.451000e+01,10.054261
130,6.500900e+01,9.972030
131,6.550900e+01,9.870771
132,6.601000e+01,9.795216
133,6.650900e+01,9.722310
134,6.701100e+01,9.682532
135,6.751000e+01,9.667109
136,6.800900e+01,9.678660
137,6.850900e+01,9.720851
138,6.901400e+01,9.775597
139,6.951000e+01,9.869694
140,7.001200e+01,9.954060
141,7.051000e+01,10.056231
142,7.101300e+01,10.148837
143,7.151000e+01,10.213300
144,7.201000e+01,10.273790
