Point,Time (s),Temperature (K)
0,1.200000e-02,8.904137
1,5.100000e-01,8.924950
2,1.010000e+00,8.954871
3,1.510000e+00,8.979459
4,2.009000e+00,9.008052
5,2.510000e+00,9.031690
6,3.009000e+00,9.047060
7,3.510000e+00,9.094686
8,4.009000e+00,9.170962
9,4.510000e+00,9.306847
10,5.009000e+00,9.437072
11,5.510000e+00,9.614602
12,6.010000e+00,9.759673
13,6.510000e+00,9.932499
14,7.010000e+00,10.056021
15,7.510000e+00,10.186925
16,8.010000e+00,10.271223
17,8.510000e+00,10.351836
18,9.010000e+00,10.395113
19,9.516000e+00,10.425117
20,1.001500e+01,10.428206
21,1.051000e+01,10.408115
22,1.101000e+01,10.374458
23,1.151000e+01,10.314694
24,1.200900e+01,10.260080
25,1.251000e+01,10.188601
26,1.301000e+01,10.128882
27,1.351000e+01,10.053859
28,1.401000e+01,9.995287
29,1.451000e+01,9.926733
30,1.501000e+01,9.882502
31,1.551000e+01,9.846153
32,1.601300e+01,9.825492
33,1.651000e+01,9.819255
34,1.701000e+01,9.825496
35,1.751000e+01,9.839905
36,1.800900e+01,9.867525
37,1.850900e+01,9.895630
38,1.900900e+01,9.934001
39,1.951000e+01,9.962830
40,2.000900e+01,9.993652
41,2.051000e+01,10.013188
42,2.101000e+01,10.034096
43,2.151000e+01,10.047241
44,2.201000e+01,10.061150
45,2.251000e+01,10.068726
46,2.300900e+01,10.072060
47,2.350900e+01,10.067655
48,2.401100e+01,10.056402
49,2.451000e+01,10.046436
50,2.501000e+01,10.032446
51,2.551000e+01,10.020541
52,2.601000e+01,10.006516
53,2.650900e+01,9.994951
54,2.701000e+01,9.979265
55,2.751100e+01,9.969820
56,2.801000e+01,9.963958
57,2.851200e+01,9.961875
58,2.900900e+01,9.963621
59,2.951000e+01,9.967694
60,3.000900e+01,9.974466
61,3.051200e+01,9.982848
62,3.100900e+01,9.989475
63,3.150900e+01,9.998636
64,3.200900e+01,10.005780
65,3.250900e+01,10.013939
66,3.301000e+01,10.019601
67,3.351000e+01,10.023087
68,3.401000e+01,10.023628
69,3.451000e+01,10.020835
70,3.500900e+01,10.020292
71,3.550900e+01,10.021059
72,3.600900e+01,10.021174
73,3.650900e+01,10.019847
74,3.700900e+01,10.017952
75,3.751000e+01,10.013984
76,3.800900e+01,10.008283
77,3.850900e+01,9.999193
78,3.901000e+01,9.992579
79,3.950900e+01,9.985147
80,4.000900e+01,9.980883
81,4.050900e+01,9.978485
82,4.100900e+01,9.977952
83,4.150900e+01,9.977853
84,4.200900e+01,9.979560
85,4.250900e+01,9.982594
86,4.301200e+01,9.985286
87,4.350900e+01,9.987451
88,4.401000e+01,9.988329
89,4.451000e+01,9.989087
90,4.501000e+01,9.989150
91,4.550800e+01,9.989156
92,4.600900e+01,9.993149
93,4.650900e+01,9.995999
94,4.701500e+01,10.001314
95,4.751000e+01,10.009511
96,4.801000e+01,10.017696
97,4.851000e+01,10.020892
98,4.900900e+01,10.021272
99,4.951000e+01,10.019866
100,5.001000e+01,10.017254
101,5.051000e+01,10.014531
102,5.101000e+01,10.011635
103,5.150900e+01,10.007258
104,5.200900e+01,10.001006
105,5.251000e+01,9.994739
106,5.301500e+01,9.985269
107,5.351000e+01,9.978928
108,5.400900e+01,9.975350
109,5.450900e+01,9.975797
110,5.500900e+01,9.978883
111,5.550900e+01,9.980973
112,5.600900e+01,9.986206
113,5.650900e+01,9.994761
114,5.701000e+01,10.008945
115,5.751200e+01,10.017732
116,5.800900e+01,10.022950
117,5.851600e+01,10.021082
118,5.901500e+01,10.016200
119,5.951200e+01,10.010785
120,6.000900e+01,10.005074
121,6.050800e+01,9.999981
122,6.100900e+01,9.997615
123,6.150900e+01,9.995420
124,6.200800e+01,9.995455
125,6.250900e+01,9.997940
126,6.300900e+01,9.999643
127,6.350900e+01,10.000867
128,6.400900e+01,10.002205
129,6.451500e+01,10.004259
130,6.500900e+01,10.004757
131,6.550900e+01,10.004160
132,6.600900e+01,10.000837
133,6.650900e+01,9.997670
134,6.700900e+01,9.996908
135,6.750900e+01,9.996744
136,6.801100e+01,9.997140
137,6.850900e+01,9.996285
138,6.900900e+01,9.993711
139,6.950900e+01,9.992348
140,7.000900e+01,9.994390
141,7.050900e+01,9.996715
142,7.100900e+01,9.999101
143,7.150900e+01,10.002630
144,7.201100e+01,10.005946
145,7.250900e+01,10.010934
146,7.301100e+01,10.014448
147,7.351000e+01,10.014487
148,7.401100e+01,10.011786
149,7.450900e+01,10.011130
150,7.500900e+01,10.011466
151,7.550900e+01,10.008824
152,7.601600e+01,10.004756
153,7.651000e+01,10.002507
154,7.700900e+01,9.999355
155,7.750900e+01,9.995785
156,7.800900e+01,9.989750
157,7.850900e+01,9.983001
158,7.900900e+01,9.978840
159,7.950900e+01,9.976611
160,8.001000e+01,9.971613
161,8.050900e+01,9.966649
162,8.100900e+01,9.968506
163,8.150900e+01,9.974784
164,8.201500e+01,9.983583
165,8.251000e+01,9.991505
166,8.301000e+01,10.005294
167,8.351000e+01,10.016063
168,8.401000e+01,10.027907
169,8.451100e+01,10.036985
170,8.500900e+01,10.044144
171,8.551000e+01,10.046107
172,8.600900e+01,10.045239
173,8.651100e+01,10.039439
174,8.701000e+01,10.026946
175,8.751000e+01,10.017676
176,8.801500e+01,10.008736
177,8.851500e+01,10.000278
178,8.901400e+01,9.994147
179,8.952100e+01,9.991656
