Point,Time (s),Temperature (K)
185,9.251100e+01,9.963255
186,9.301100e+01,9.975764
187,9.351100e+01,9.991310
188,9.401100e+01,10.008803
189,9.451100e+01,10.014721
190,9.501100e+01,10.007132
191,9.551100e+01,9.997822
192,9.601600e+01,9.998431
193,9.651600e+01,9.998649
194,9.701600e+01,9.997602
195,9.751600e+01,9.999380
196,9.801600e+01,9.996351
197,9.851600e+01,9.999774
198,9.901100e+01,10.007934
199,9.951300e+01,10.015078
200,1.000160e+02,10.015913
201,1.005160e+02,10.014502
202,1.010160e+02,10.013093
203,1.015170e+02,10.016334
204,1.020110e+02,10.021758
205,1.025200e+02,10.023523
206,1.030160e+02,10.014130
207,1.035160e+02,10.006189
208,1.040180e+02,9.995260
209,1.045170e+02,9.985559
210,1.050160e+02,9.975672
211,1.055210e+02,9.977874
212,1.060110e+02,9.982363
213,1.065120e+02,9.986774
214,1.070100e+02,9.988059
215,1.075110e+02,9.984118
216,1.080110e+02,9.986769
217,1.085170e+02,9.996386
218,1.090150e+02,10.005129
219,1.095140e+02,10.009051
220,1.100140e+02,10.005766
221,1.105150e+02,10.006017
222,1.110110e+02,10.006289
223,1.115110e+02,9.995559
224,1.120110e+02,9.994812
225,1.125100e+02,9.999748
226,1.130110e+02,10.006582
227,1.135150e+02,10.011240
228,1.140150e+02,10.015152
229,1.145140e+02,10.017284
230,1.150140e+02,10.021905
231,1.155150e+02,10.024623
232,1.160120e+02,10.011268
233,1.165110e+02,9.984392
234,1.170100e+02,9.973286
235,1.175110e+02,9.972733
236,1.180110e+02,9.975576
237,1.185150e+02,9.974929
238,1.190150e+02,9.980582
239,1.195150e+02,9.991389
240,1.200200e+02,9.997069
241,1.205140e+02,10.001987
242,1.210120e+02,10.010891
243,1.215110e+02,10.018489
244,1.220110e+02,10.019427
245,1.225110e+02,10.013485
246,1.230110e+02,10.012717
247,1.235110e+02,10.008200
248,1.240110e+02,9.995857
249,1.245110e+02,9.988761
250,1.250110e+02,9.988115
251,1.255100e+02,9.987780
252,1.260130e+02,9.984379
253,1.265100e+02,9.982837
254,1.270110e+02,9.990366
255,1.275110e+02,9.999846
256,1.280120e+02,10.006155
257,1.285110e+02,10.016017
258,1.290110e+02,10.030469
259,1.295110e+02,10.029922
260,1.300110e+02,10.014331
261,1.305110e+02,10.006564
262,1.310110e+02,9.993947
263,1.315110e+02,9.990011
264,1.320110e+02,9.993613
265,1.325120e+02,10.000491
266,1.330110e+02,10.001542
267,1.335140e+02,9.990821
268,1.340110e+02,9.975362
269,1.345150e+02,9.968342
270,1.350230e+02,9.968473
271,1.355120e+02,9.976371
272,1.360100e+02,9.981386
273,1.365110e+02,9.990721
274,1.370110e+02,10.000360
275,1.375110e+02,10.019994
276,1.380110e+02,10.030417
277,1.385110e+02,10.033690
278,1.390110e+02,10.033202
279,1.395110e+02,10.028770
280,1.400110e+02,10.019863
281,1.405110e+02,10.005876
282,1.410110e+02,9.991290
283,1.415110e+02,9.984833
284,1.420110e+02,9.985878
285,1.425100e+02,9.991009
286,1.430100e+02,9.997204
287,1.435110e+02,9.999783
288,1.440110e+02,10.000560
289,1.445100e+02,10.003148
290,1.450110e+02,10.002254
291,1.455100e+02,9.995390
292,1.460110e+02,9.987149
293,1.465110e+02,9.980105
294,1.470110e+02,9.987485
295,1.475110e+02,9.995373
296,1.480140e+02,10.008762
297,1.485110e+02,10.021850
298,1.490160e+02,10.029474
299,1.495110e+02,10.027330
300,1.500130e+02,10.015778
301,1.505110e+02,9.998992
302,1.510110e+02,9.983419
303,1.515100e+02,9.977818
304,1.520100e+02,9.982345
305,1.525130e+02,9.986314
306,1.530110e+02,9.988338
307,1.535100e+02,9.986844
308,1.540110e+02,9.982565
309,1.545110e+02,9.990112
310,1.550110e+02,10.001861
311,1.555110e+02,10.001733
312,1.560110e+02,10.001393
313,1.565110e+02,10.004064
314,1.570120e+02,10.006143
315,1.575110e+02,10.008439
316,1.580150e+02,10.007655
317,1.585150e+02,10.005611
318,1.590110e+02,10.005703
319,1.595110e+02,10.010489
320,1.600120e+02,10.018086
321,1.605110e+02,10.017375
322,1.610110e+02,10.012626
323,1.615170e+02,10.011547
324,1.620110e+02,10.000936
325,1.625150e+02,9.992477
326,1.630140e+02,9.988689
327,1.635190e+02,9.983736
328,1.640110e+02,9.984972
329,1.645120e+02,9.988212
330,1.650100e+02,9.992632
331,1.655100e+02,9.990602
332,1.660110e+02,9.989175
333,1.665110e+02,9.988254
334,1.670110e+02,9.995692
335,1.675110e+02,10.005791
336,1.680120e+02,10.010981
337,1.685110e+02,10.016595
338,1.690110e+02,10.011889
339,1.695110e+02,10.004591
340,1.700110e+02,10.005412
341,1.705110e+02,10.010757
342,1.710110e+02,10.015328
343,1.715110e+02,10.009828
344,1.720110e+02,10.000893
345,1.725110e+02,9.986525
346,1.730110e+02,9.980976
347,1.735100e+02,9.976836
348,1.740100e+02,9.976593
349,1.745110e+02,9.985879
350,1.750100e+02,9.992190
351,1.755100e+02,9.988827
352,1.760110e+02,9.988111
353,1.765110e+02,10.006236
354,1.770140e+02,10.021197
355,1.775110e+02,10.031600
356,1.780160e+02,10.025803
357,1.785110e+02,10.010362
358,1.790140e+02,10.001042
359,1.795110e+02,9.997790
360,1.800100e+02,10.000319
361,1.805110e+02,10.001074
362,1.810100e+02,9.998950
363,1.815110e+02,10.000987
364,1.820110e+02,10.005906
365,1.825100e+02,10.007831
366,1.830110e+02,9.999325
367,1.835110e+02,9.991964
368,1.840100e+02,9.987177
369,1.845100e+02,9.990252
370,1.850110e+02,9.998154
371,1.855100e+02,9.998092
372,1.860100e+02,9.992280
373,1.865100e+02,9.986097
374,1.870110e+02,9.981964
375,1.875100e+02,9.985089
376,1.880130e+02,10.002506
377,1.885110e+02,10.009624
378,1.890110e+02,10.012211
379,1.895110e+02,10.012818
380,1.900110e+02,10.003108
381,1.905110e+02,9.987208
382,1.910110e+02,9.982827
383,1.915140e+02,9.992442
384,1.920110e+02,10.004591
385,1.925190e+02,10.008311
386,1.930110e+02,10.001424
387,1.935120e+02,9.985769
388,1.940110e+02,9.979239
389,1.945100e+02,9.988750
390,1.950110e+02,10.007219
391,1.955110e+02,10.021382
392,1.960110e+02,10.020529
393,1.965100e+02,10.006739
394,1.970110e+02,10.002399
395,1.975100e+02,9.997494
396,1.980110e+02,9.992803
397,1.985100e+02,9.989382
398,1.990110e+02,9.988564
399,1.995220e+02,9.990548
