Point,Time (s),Temperature (K)
185,9.251100e+01,49.793072
186,9.301000e+01,49.801044
187,9.350900e+01,49.815731
188,9.401000e+01,49.829132
189,9.451000e+01,49.847740
190,9.500900e+01,49.864616
191,9.551000e+01,49.884563
192,9.601000e+01,49.907234
193,9.651000e+01,49.936512
194,9.701000e+01,49.959431
195,9.751000e+01,49.989136
196,9.801000e+01,50.017586
197,9.850900e+01,50.052498
198,9.901100e+01,50.079765
199,9.951000e+01,50.105537
200,1.000100e+02,50.132259
201,1.005100e+02,50.155495
202,1.010100e+02,50.173515
203,1.015090e+02,50.202278
204,1.020150e+02,50.216042
205,1.025140e+02,50.234001
206,1.030140e+02,50.245464
207,1.035150e+02,50.256329
208,1.040160e+02,50.261490
209,1.045130e+02,50.264111
210,1.050140e+02,50.262711
211,1.055130e+02,50.253899
212,1.060130e+02,50.246906
213,1.065130e+02,50.230106
214,1.070150e+02,50.211498
215,1.075130e+02,50.194645
216,1.080150e+02,50.174835
217,1.085160e+02,50.154480
218,1.090110e+02,50.129562
219,1.095100e+02,50.108395
220,1.100100e+02,50.076302
221,1.105110e+02,50.056374
222,1.110100e+02,50.030125
223,1.115100e+02,50.004490
224,1.120100e+02,49.969948
225,1.125110e+02,49.947262
226,1.130100e+02,49.921009
227,1.135100e+02,49.900318
228,1.140110e+02,49.874176
229,1.145110e+02,49.853939
230,1.150100e+02,49.835838
231,1.155100e+02,49.825687
232,1.160100e+02,49.810497
233,1.165100e+02,49.800823
234,1.170100e+02,49.794952
235,1.175100e+02,49.793034
236,1.180100e+02,49.798828
237,1.185100e+02,49.797321
238,1.190100e+02,49.805019
239,1.195130e+02,49.816109
240,1.200100e+02,49.827442
241,1.205120e+02,49.842575
242,1.210100e+02,49.865482
243,1.215120e+02,49.888443
244,1.220160e+02,49.913189
245,1.225160e+02,49.941959
246,1.230150e+02,49.969101
247,1.235160e+02,49.996853
248,1.240150e+02,50.022633
249,1.245150e+02,50.053314
250,1.250150e+02,50.080158
251,1.255150e+02,50.111832
252,1.260150e+02,50.135773
253,1.265150e+02,50.163498
254,1.270150e+02,50.188507
255,1.275150e+02,50.208702
256,1.280120e+02,50.228771
257,1.285120e+02,50.245312
258,1.290120e+02,50.249352
259,1.295120e+02,50.260151
260,1.300120e+02,50.259579
261,1.305110e+02,50.259285
262,1.310110e+02,50.259682
263,1.315120e+02,50.246956
264,1.320110e+02,50.240490
265,1.325130e+02,50.223732
266,1.330160e+02,50.205990
267,1.335120e+02,50.186161
268,1.340120e+02,50.170238
269,1.345120e+02,50.146481
270,1.350130e+02,50.132729
271,1.355120e+02,50.099686
272,1.360170e+02,50.071571
273,1.365140e+02,50.044971
274,1.370140e+02,50.015419
275,1.375140e+02,49.990021
276,1.380140e+02,49.961502
277,1.385140e+02,49.936966
278,1.390140e+02,49.912796
279,1.395140e+02,49.893345
280,1.400140e+02,49.869705
281,1.405140e+02,49.857780
282,1.410160e+02,49.834866
283,1.415170e+02,49.819572
284,1.420160e+02,49.808590
285,1.425150e+02,49.806293
286,1.430160e+02,49.797943
287,1.435150e+02,49.797729
288,1.440160e+02,49.798557
289,1.445160e+02,49.799343
290,1.450160e+02,49.808338
291,1.455150e+02,49.814632
292,1.460160e+02,49.833469
293,1.465200e+02,49.849346
294,1.470140e+02,49.870270
295,1.475160e+02,49.894760
296,1.480150e+02,49.922676
297,1.485140e+02,49.942764
298,1.490150e+02,49.973904
299,1.495320e+02,50.009441
