Point,Time (s),Temperature (K)
0,1.100000e-02,9.017293
1,5.090000e-01,9.002870
2,1.014000e+00,8.987545
3,1.510000e+00,8.978469
4,2.009000e+00,9.061364
5,2.515000e+00,9.292396
6,3.015000e+00,9.542478
7,3.515000e+00,9.882665
8,4.015000e+00,10.146669
9,4.516000e+00,10.436028
10,5.017000e+00,10.619778
11,5.515000e+00,10.762420
12,6.018000e+00,10.791757
13,6.510000e+00,10.714007
14,7.010000e+00,10.569921
15,7.515000e+00,10.307872
16,8.011000e+00,10.060157
17,8.510000e+00,9.760798
18,9.013000e+00,9.536773
19,9.510000e+00,9.438768
20,1.001000e+01,9.422528
21,1.051100e+01,9.486564
22,1.101000e+01,9.639546
23,1.151000e+01,9.796632
24,1.201000e+01,10.005570
25,1.251000e+01,10.162015
26,1.301000e+01,10.322544
27,1.351500e+01,10.615928
28,1.401400e+01,10.599786
29,1.451000e+01,10.523632
30,1.501000e+01,10.349813
31,1.551200e+01,10.168491
32,1.600900e+01,9.925790
33,1.651000e+01,9.754827
34,1.700900e+01,9.608120
35,1.751000e+01,9.554461
36,1.800900e+01,9.565528
37,1.851000e+01,9.626831
38,1.901000e+01,9.751332
39,1.951500e+01,9.872890
40,2.001400e+01,10.028863
41,2.051000e+01,10.140706
42,2.101000e+01,10.252377
43,2.151400e+01,10.313388
44,2.201000e+01,10.340742
45,2.251100e+01,10.321090
46,2.301000e+01,10.248210
47,2.351300e+01,10.132443
48,2.401000e+01,10.023259
49,2.451000e+01,9.892861
50,2.500900e+01,9.809437
51,2.550900e+01,9.744069
52,2.601400e+01,9.727035
53,2.651000e+01,9.751657
54,2.700900e+01,9.800324
55,2.751000e+01,9.884064
56,2.801000e+01,9.958659
57,2.851000e+01,10.050884
58,2.901000e+01,10.115033
59,2.951000e+01,10.172279
60,3.001000e+01,10.192714
61,3.051000e+01,10.186975
62,3.101000e+01,10.162447
63,3.151000e+01,10.111847
64,3.201400e+01,10.059637
65,3.251600e+01,9.987371
66,3.301600e+01,9.932233
67,3.351000e+01,9.877062
68,3.401000e+01,9.850982
69,3.451000e+01,9.846617
70,3.501000e+01,9.863272
71,3.551000e+01,9.901544
72,3.601300e+01,9.940160
73,3.651000e+01,9.996000
74,3.701100e+01,10.041006
75,3.751100e+01,10.086935
76,3.801300e+01,10.119210
77,3.851100e+01,10.128947
78,3.901100e+01,10.118363
79,3.951000e+01,10.097738
80,4.001700e+01,10.060676
81,4.051700e+01,10.025172
82,4.101600e+01,9.980137
83,4.151100e+01,9.948586
84,4.201100e+01,9.918053
85,4.251100e+01,9.902859
86,4.301100e+01,9.897475
87,4.351000e+01,9.902004
88,4.401000e+01,9.918891
89,4.451000e+01,9.942217
90,4.501000e+01,9.975547
91,4.551100e+01,10.008142
92,4.601000e+01,10.051548
93,4.651000e+01,10.080397
94,4.701100e+01,10.100326
95,4.751000e+01,10.101877
96,4.801000e+01,10.087250
97,4.851000e+01,10.067776
98,4.901000e+01,10.034982
99,4.951100e+01,10.003922
100,5.001000e+01,9.966874
101,5.051200e+01,9.939737
102,5.101000e+01,9.913865
103,5.151000e+01,9.905915
104,5.201000e+01,9.915630
105,5.251200e+01,9.939960
106,5.301000e+01,9.964793
107,5.351000e+01,9.998176
108,5.401000e+01,10.024487
109,5.451000e+01,10.049672
110,5.501000e+01,10.064726
111,5.551100e+01,10.072929
112,5.601000e+01,10.069313
113,5.651600e+01,10.053503
114,5.701600e+01,10.035211
115,5.751600e+01,10.008867
116,5.801100e+01,9.984912
117,5.851000e+01,9.959367
118,5.901100e+01,9.946922
119,5.951000e+01,9.942807
120,6.001000e+01,9.949364
121,6.051000e+01,9.962344
122,6.101100e+01,9.975036
123,6.151000e+01,9.992482
124,6.201000e+01,10.004396
125,6.251100e+01,10.015922
126,6.301000e+01,10.023017
127,6.351200e+01,10.028725
128,6.401000e+01,10.030295
129,6.451000e+01,10.024551
130,6.501100e+01,10.015846
131,6.551000e+01,10.005297
132,6.601100e+01,9.998449
133,6.651000e+01,9.990719
134,6.701100e+01,9.989017
135,6.750900e+01,9.989417
136,6.801000e+01,9.989991
137,6.850900e+01,9.990455
138,6.901000e+01,9.992593
139,6.951000e+01,9.995686
140,7.000900e+01,10.000903
141,7.051000e+01,10.005014
142,7.101000e+01,10.010163
143,7.151000e+01,10.009624
144,7.201000e+01,10.005795
145,7.251000e+01,10.001950
146,7.301000e+01,10.001680
147,7.351000e+01,10.000994
148,7.401600e+01,9.997727
149,7.451600e+01,9.992868
150,7.501500e+01,9.987558
151,7.551600e+01,9.985612
152,7.601000e+01,9.985262
153,7.651000e+01,9.987950
154,7.701000e+01,9.997570
155,7.751000e+01,10.008016
156,7.801100e+01,10.018530
157,7.851100e+01,10.020770
158,7.901100e+01,10.015724
159,7.951100e+01,10.007361
160,8.001000e+01,10.001131
161,8.051100e+01,9.998653
162,8.100900e+01,9.998013
163,8.151000e+01,9.997398
164,8.201000e+01,9.995336
165,8.251000e+01,9.989976
166,8.301000e+01,9.987350
167,8.351000e+01,9.986792
168,8.401000e+01,9.986961
169,8.451000e+01,9.988090
170,8.501000e+01,9.993002
171,8.551100e+01,10.001676
172,8.601100e+01,10.009435
173,8.651100e+01,10.019018
174,8.701000e+01,10.022992
175,8.751000e+01,10.019794
176,8.801000e+01,10.012940
177,8.851000e+01,10.005650
178,8.901000e+01,9.998935
179,8.952200e+01,9.988899
