Point,Time (s),Temperature (K)
0,1.200000e-02,9.048832
1,5.100000e-01,9.046200
2,1.010000e+00,9.032310
3,1.510000e+00,9.015765
4,2.010000e+00,8.999024
5,2.510000e+00,8.977037
6,3.010000e+00,8.969487
7,3.510000e+00,8.965353
8,4.011000e+00,9.000117
9,4.514000e+00,9.158293
10,5.015000e+00,9.354033
11,5.515000e+00,9.656301
12,6.015000e+00,9.914453
13,6.517000e+00,10.233720
14,7.017000e+00,10.462923
15,7.517000e+00,10.677052
16,8.018000e+00,10.772834
17,8.513000e+00,10.793851
18,9.012000e+00,10.740908
19,9.511000e+00,10.607746
20,1.001500e+01,10.458510
21,1.051100e+01,10.237379
22,1.101300e+01,10.048859
23,1.151100e+01,9.841789
24,1.201500e+01,9.706658
25,1.251100e+01,9.666533
26,1.301100e+01,9.694074
27,1.351000e+01,9.760837
28,1.401000e+01,9.875783
29,1.451100e+01,9.979671
30,1.501100e+01,10.103128
31,1.551100e+01,10.196366
32,1.601100e+01,10.292036
33,1.651100e+01,10.339562
34,1.701100e+01,10.365001
35,1.751200e+01,10.343902
36,1.801100e+01,10.268456
37,1.851100e+01,10.174729
38,1.901100e+01,10.039989
39,1.951000e+01,9.940059
40,2.001100e+01,9.834785
41,2.051000e+01,9.768978
42,2.101000e+01,9.738029
43,2.151000e+01,9.763904
44,2.201100e+01,9.827745
45,2.251000e+01,9.893493
46,2.301100e+01,9.988742
47,2.351100e+01,10.062914
48,2.401100e+01,10.140802
49,2.451500e+01,10.181748
50,2.501100e+01,10.195804
51,2.551300e+01,10.182349
52,2.601000e+01,10.134195
53,2.651500e+01,10.074626
54,2.701100e+01,10.029498
55,2.751000e+01,9.975584
56,2.801000e+01,9.940053
57,2.851100e+01,9.904868
58,2.901000e+01,9.887012
59,2.951000e+01,9.880052
60,3.001000e+01,9.889225
61,3.051000e+01,9.919165
62,3.101100e+01,9.952386
63,3.151000e+01,9.995720
64,3.201800e+01,10.029864
65,3.251100e+01,10.064674
66,3.301100e+01,10.085430
67,3.351100e+01,10.099144
68,3.401100e+01,10.095851
69,3.451100e+01,10.074076
70,3.501100e+01,10.044224
71,3.551100e+01,10.001953
72,3.601100e+01,9.972883
73,3.651000e+01,9.945729
74,3.701100e+01,9.929259
75,3.751000e+01,9.928154
76,3.801000e+01,9.940301
77,3.851000e+01,9.952939
78,3.901500e+01,9.957671
79,3.951000e+01,9.970286
80,4.001300e+01,9.987539
81,4.051100e+01,10.014908
82,4.101500e+01,10.027232
83,4.151000e+01,10.030060
84,4.201100e+01,10.037017
85,4.251000e+01,10.046002
86,4.301100e+01,10.052123
87,4.350900e+01,10.049344
88,4.401200e+01,10.039249
89,4.451100e+01,10.026265
90,4.501000e+01,9.995036
91,4.551000e+01,9.975532
92,4.601000e+01,9.968671
93,4.651000e+01,9.973692
94,4.701100e+01,9.979265
95,4.751000e+01,9.985091
96,4.801000e+01,9.993134
97,4.851600e+01,9.992300
98,4.901600e+01,9.987675
99,4.951000e+01,9.982677
100,5.001000e+01,9.981339
101,5.051000e+01,9.994081
102,5.101100e+01,10.012648
103,5.151100e+01,10.020696
104,5.201100e+01,10.023515
105,5.250900e+01,10.020411
106,5.301200e+01,10.001452
107,5.351500e+01,9.982690
108,5.401000e+01,9.970553
109,5.451200e+01,9.980509
110,5.501100e+01,10.004042
111,5.551500e+01,10.022065
112,5.601200e+01,10.030650
113,5.651100e+01,10.034859
114,5.701100e+01,10.030262
115,5.751100e+01,10.004513
116,5.801100e+01,9.985127
117,5.851000e+01,9.970974
118,5.901000e+01,9.972687
119,5.951000e+01,9.980253
120,6.001100e+01,9.979443
121,6.051000e+01,9.978327
122,6.100900e+01,9.981466
123,6.151100e+01,9.987846
124,6.201000e+01,9.991109
125,6.251000e+01,9.998015
126,6.301000e+01,10.002897
127,6.351100e+01,10.007696
128,6.401100e+01,10.021067
129,6.451100e+01,10.037587
130,6.501100e+01,10.041085
131,6.551100e+01,10.034760
132,6.601100e+01,10.024153
133,6.651100e+01,10.007640
134,6.701200e+01,9.996543
135,6.751000e+01,9.984059
136,6.801500e+01,9.975748
137,6.851000e+01,9.972423
138,6.901300e+01,9.968164
139,6.951000e+01,9.970048
140,7.001500e+01,9.978261
141,7.051100e+01,9.992480
142,7.101100e+01,10.014208
143,7.151100e+01,10.027045
144,7.201100e+01,10.037960
145,7.251000e+01,10.038432
146,7.301100e+01,10.018525
147,7.351100e+01,10.001636
148,7.401100e+01,9.982874
149,7.451000e+01,9.973214
150,7.501700e+01,9.973052
151,7.551600e+01,9.972414
152,7.601100e+01,9.976458
153,7.651000e+01,9.991641
154,7.701100e+01,10.005890
155,7.751000e+01,10.004070
156,7.801100e+01,10.005586
157,7.851000e+01,10.009459
158,7.901100e+01,10.006295
159,7.951100e+01,10.003580
160,8.001100e+01,10.003615
161,8.051000e+01,10.004183
162,8.101200e+01,10.004955
163,8.151000e+01,10.004226
164,8.201000e+01,10.000940
165,8.251700e+01,9.997373
166,8.301600e+01,9.997418
167,8.351200e+01,10.001542
168,8.401100e+01,10.007572
169,8.451400e+01,10.005934
170,8.501100e+01,9.997469
171,8.551000e+01,9.987483
172,8.601000e+01,9.986420
173,8.651100e+01,9.991144
174,8.701100e+01,9.995550
175,8.751000e+01,10.006196
176,8.801000e+01,10.016516
177,8.851100e+01,10.024070
178,8.901100e+01,10.022153
179,8.951000e+01,10.015821
180,9.001100e+01,10.006680
181,9.051000e+01,9.998365
182,9.101000e+01,9.991340
183,9.151000e+01,9.977122
184,9.201000e+01,9.968982
185,9.251000e+01,9.975141
186,9.301000e+01,9.984955
187,9.351000e+01,9.995444
188,9.401100e+01,10.003681
189,9.451000e+01,10.012084
190,9.501000e+01,10.015500
191,9.551000e+01,10.017211
192,9.601900e+01,10.015656
193,9.651000e+01,10.010065
194,9.701400e+01,10.003121
195,9.751000e+01,9.996999
196,9.801300e+01,9.991107
197,9.851000e+01,9.987290
198,9.901400e+01,9.987894
199,9.951000e+01,9.978376
200,1.000110e+02,9.973811
201,1.005100e+02,9.980042
202,1.010110e+02,9.988580
203,1.015110e+02,10.001841
204,1.020110e+02,10.024042
205,1.025110e+02,10.032959
206,1.030110e+02,10.028934
207,1.035170e+02,10.022044
208,1.040160e+02,10.016036
209,1.045160e+02,10.011143
210,1.050150e+02,10.000842
211,1.055130e+02,9.992859
212,1.060100e+02,9.985104
213,1.065100e+02,9.979657
214,1.070100e+02,9.978284
215,1.075100e+02,9.981481
216,1.080100e+02,9.977741
217,1.085140e+02,9.978336
218,1.090170e+02,9.990449
219,1.095160e+02,10.006001
220,1.100160e+02,10.017367
221,1.105100e+02,10.023944
222,1.110110e+02,10.027312
223,1.115150e+02,10.022677
224,1.120110e+02,10.013991
225,1.125150e+02,10.007027
226,1.130160e+02,10.000813
227,1.135140e+02,9.995935
228,1.140100e+02,9.992610
229,1.145110e+02,9.984233
230,1.150100e+02,9.976774
231,1.155100e+02,9.974175
232,1.160100e+02,9.979655
233,1.165100e+02,9.991344
234,1.170160e+02,9.999200
235,1.175150e+02,10.005214
236,1.180140e+02,10.007080
237,1.185100e+02,10.012218
238,1.190100e+02,10.015244
239,1.195100e+02,10.014628
240,1.200100e+02,10.004468
241,1.205100e+02,9.990967
242,1.210140e+02,9.990706
243,1.215140e+02,10.000716
244,1.220130e+02,10.003484
245,1.225100e+02,10.005473
246,1.230090e+02,10.004308
247,1.235110e+02,10.006045
248,1.240090e+02,10.009096
249,1.245100e+02,10.011846
250,1.250190e+02,10.002691
251,1.255130e+02,9.997108
252,1.260150e+02,9.996337
253,1.265100e+02,9.994182
254,1.270120e+02,9.970984
255,1.275100e+02,9.948116
256,1.280140e+02,9.948814
257,1.285100e+02,9.966997
258,1.290100e+02,10.001942
259,1.295150e+02,10.027475
260,1.300150e+02,10.051496
261,1.305140e+02,10.059451
262,1.310100e+02,10.052067
263,1.315100e+02,10.041191
264,1.320100e+02,10.024944
265,1.325110e+02,10.007566
266,1.330100e+02,9.980272
267,1.335130e+02,9.962220
268,1.340150e+02,9.949739
269,1.345150e+02,9.943948
270,1.350100e+02,9.935999
271,1.355100e+02,9.940529
272,1.360110e+02,9.960115
273,1.365100e+02,9.982893
274,1.370110e+02,10.022366
275,1.375150e+02,10.051173
276,1.380160e+02,10.078264
277,1.385150e+02,10.083460
278,1.390100e+02,10.078313
279,1.395100e+02,10.069823
280,1.400100e+02,10.050417
281,1.405150e+02,10.023137
282,1.410100e+02,9.985995
283,1.415120e+02,9.959308
284,1.420140e+02,9.921742
285,1.425180e+02,9.893744
286,1.430100e+02,9.896873
287,1.435100e+02,9.926793
288,1.440100e+02,9.959510
289,1.445100e+02,9.996693
290,1.450100e+02,10.021297
291,1.455100e+02,10.049045
292,1.460100e+02,10.066161
293,1.465100e+02,10.075444
294,1.470100e+02,10.073993
295,1.475100e+02,10.061537
296,1.480110e+02,10.046780
297,1.485100e+02,10.015501
298,1.490100e+02,9.986714
299,1.495100e+02,9.960101
300,1.500110e+02,9.946918
301,1.505100e+02,9.935666
302,1.510100e+02,9.938928
303,1.515100e+02,9.953926
304,1.520100e+02,9.972525
305,1.525100e+02,9.995298
306,1.530100e+02,10.009926
307,1.535100e+02,10.025526
308,1.540100e+02,10.032472
309,1.545110e+02,10.033487
310,1.550150e+02,10.032224
311,1.555100e+02,10.028248
312,1.560130e+02,10.019723
313,1.565100e+02,10.000580
314,1.570140e+02,9.980355
315,1.575100e+02,9.970689
316,1.580100e+02,9.967104
317,1.585090e+02,9.967865
318,1.590110e+02,9.973162
319,1.595100e+02,9.984671
320,1.600100e+02,9.996432
321,1.605100e+02,10.004042
322,1.610100e+02,10.011286
323,1.615110e+02,10.017485
324,1.620100e+02,10.020450
325,1.625100e+02,10.015937
326,1.630110e+02,10.009773
327,1.635100e+02,10.012438
328,1.640100e+02,10.014070
329,1.645100e+02,10.011315
330,1.650100e+02,10.001320
331,1.655090e+02,9.996304
332,1.660100e+02,9.990196
333,1.665090e+02,9.992426
334,1.670100e+02,9.990881
335,1.675100e+02,9.987390
336,1.680090e+02,9.985760
337,1.685100e+02,9.982972
338,1.690100e+02,9.988935
339,1.695150e+02,9.996573
340,1.700090e+02,10.004906
341,1.705130e+02,10.011605
342,1.710110e+02,10.018478
343,1.715140e+02,10.020087
344,1.720100e+02,10.017029
345,1.725100e+02,10.004491
346,1.730100e+02,9.998568
347,1.735100e+02,10.001421
348,1.740110e+02,10.002220
349,1.745100e+02,9.984073
350,1.750100e+02,9.969173
351,1.755100e+02,9.961467
352,1.760100e+02,9.966317
353,1.765110e+02,9.976410
354,1.770110e+02,9.987103
355,1.775110e+02,10.008674
356,1.780110e+02,10.030414
357,1.785110e+02,10.047206
358,1.790110e+02,10.046304
359,1.795110e+02,10.043735
360,1.800100e+02,10.036902
361,1.805100e+02,10.021281
362,1.810100e+02,10.007854
363,1.815100e+02,9.981404
364,1.820100e+02,9.962300
365,1.825100e+02,9.950623
366,1.830100e+02,9.951581
367,1.835100e+02,9.961657
368,1.840100e+02,9.970128
369,1.845100e+02,9.981818
370,1.850120e+02,9.992551
371,1.855110e+02,10.007986
372,1.860140e+02,10.024393
373,1.865100e+02,10.037385
374,1.870100e+02,10.040050
375,1.875100e+02,10.040478
376,1.880100e+02,10.033557
377,1.885100e+02,10.019254
378,1.890100e+02,9.999113
379,1.895100e+02,9.986800
380,1.900100e+02,9.973093
381,1.905100e+02,9.961761
382,1.910100e+02,9.957475
383,1.915090e+02,9.960229
384,1.920090e+02,9.960040
385,1.925100e+02,9.971763
386,1.930100e+02,9.997068
387,1.935100e+02,10.012362
388,1.940110e+02,10.034588
389,1.945100e+02,10.046634
390,1.950100e+02,10.048783
391,1.955100e+02,10.041233
392,1.960100e+02,10.026763
393,1.965100e+02,10.012295
394,1.970100e+02,10.001161
395,1.975100e+02,10.000960
396,1.980110e+02,9.990316
397,1.985150e+02,9.976989
398,1.990110e+02,9.962335
399,1.995250e+02,9.953685
