Point,Time (s),Temperature (K)
0,1.200000e-02,8.457888
1,5.090000e-01,8.457879
2,1.009000e+00,8.456703
3,1.510000e+00,8.456525
4,2.009000e+00,8.458804
5,2.510000e+00,8.459327
6,3.009000e+00,8.457397
7,3.513000e+00,8.459213
8,4.009000e+00,8.461985
9,4.510000e+00,8.464046
10,5.010000e+00,8.463445
11,5.510000e+00,8.468870
12,6.011000e+00,8.564431
13,6.511000e+00,8.796974
14,7.011000e+00,9.023846
15,7.511000e+00,9.305647
16,8.009000e+00,9.500437
17,8.510000e+00,9.680187
18,9.015000e+00,9.759443
19,9.516000e+00,9.771762
20,1.001000e+01,9.716825
21,1.051000e+01,9.585361
22,1.101100e+01,9.454967
23,1.151000e+01,9.303023
24,1.201000e+01,9.212283
25,1.251000e+01,9.147767
26,1.301000e+01,9.139500
27,1.351000e+01,9.174237
28,1.401000e+01,9.226761
29,1.451000e+01,9.304914
30,1.501000e+01,9.363141
31,1.551100e+01,9.416964
32,1.601000e+01,9.444272
33,1.651000e+01,9.458937
34,1.701000e+01,9.452944
35,1.751000e+01,9.427086
36,1.801200e+01,9.392069
37,1.851000e+01,9.364407
38,1.901000e+01,9.336995
39,1.951000e+01,9.321086
40,2.001000e+01,9.313784
41,2.051000e+01,9.314555
42,2.101100e+01,9.322330
43,2.150900e+01,9.332808
44,2.201100e+01,9.348168
45,2.251100e+01,9.359045
46,2.301000e+01,9.366569
47,2.351000e+01,9.368676
48,2.400900e+01,9.370224
49,2.450900e+01,9.370796
50,2.500900e+01,9.369914
51,2.550900e+01,9.369292
52,2.601000e+01,9.368193
53,2.650900e+01,9.365766
54,2.701000e+01,9.361637
55,2.751000e+01,9.357284
56,2.801000e+01,9.351648
57,2.850900e+01,9.349065
58,2.901500e+01,9.345897
59,2.951600e+01,9.344130
60,3.001400e+01,9.342111
61,3.051200e+01,9.343599
62,3.100900e+01,9.350772
63,3.151000e+01,9.358046
64,3.200900e+01,9.364403
65,3.251200e+01,9.366738
66,3.300900e+01,9.365555
67,3.351000e+01,9.361848
68,3.400900e+01,9.358558
69,3.451000e+01,9.354230
70,3.500900e+01,9.352953
71,3.551400e+01,9.351061
72,3.601500e+01,9.348726
73,3.651600e+01,9.352412
74,3.701000e+01,9.359228
75,3.751000e+01,9.365273
76,3.800900e+01,9.369489
77,3.850900e+01,9.373578
78,3.900900e+01,9.373805
79,3.950900e+01,9.369920
80,4.001000e+01,9.364410
81,4.051000e+01,9.354657
82,4.100900e+01,9.347555
83,4.151000e+01,9.344666
84,4.201000e+01,9.346612
85,4.251400e+01,9.347936
86,4.301400e+01,9.350004
87,4.351000e+01,9.355985
88,4.400900e+01,9.360107
89,4.451000e+01,9.363113
90,4.501200e+01,9.364287
91,4.551000e+01,9.364161
92,4.601000e+01,9.363482
93,4.650900e+01,9.362561
94,4.701100e+01,9.361830
95,4.750900e+01,9.359936
96,4.801400e+01,9.358653
97,4.850900e+01,9.358029
98,4.900900e+01,9.358511
99,4.950900e+01,9.357895
100,5.000900e+01,9.357383
101,5.050900e+01,9.356066
102,5.101000e+01,9.352878
103,5.150900e+01,9.350581
104,5.200900e+01,9.349876
105,5.250900e+01,9.351224
106,5.301000e+01,9.356870
107,5.350900e+01,9.361166
108,5.401000e+01,9.362672
109,5.450900e+01,9.360956
110,5.500900e+01,9.361479
111,5.550900e+01,9.360364
112,5.600900e+01,9.356400
113,5.651000e+01,9.358459
114,5.700900e+01,9.363781
115,5.751000e+01,9.365838
116,5.801000e+01,9.364236
117,5.851500e+01,9.363498
118,5.900900e+01,9.362690
119,5.952300e+01,9.359893
